date,hitVal,otherInfo,opPitcherEra
4/1,True,n/a,inf
4/2,True,n/a,inf
4/3,True,n/a,inf
4/4,True,n/a,inf
4/5,False,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,6.0
4/9,True,n/a,1.35
4/10,False,n/a,15.79
4/12,True,n/a,1.17
4/13,False,n/a,4.27
4/14,False,n/a,6.0
4/15,True,n/a,5.07
4/16,False,n/a,13.51
4/19,False,n/a,7.2
4/20,True,n/a,5.75
4/22,False,n/a,5.3
4/23,True,n/a,2.21
4/24,True,n/a,3.18
4/25,True,n/a,4.18
4/26,True,n/a,2.74
4/27,True,n/a,2.81
4/29,True,n/a,8.11
4/30,True,n/a,3.18
5/1,False,n/a,2.96
5/2,False,n/a,2.77
5/5,True,n/a,6.9
5/6,False,n/a,3.66
5/7,True,n/a,4.27
5/8,True,n/a,4.24
5/9,True,n/a,3.69
5/10,False,n/a,1.58
5/11,True,n/a,3.46
5/16,True,n/a,3.57
5/17,False,n/a,4.64
5/18,True,n/a,5.14
5/21,True,n/a,4.58
5/23,True,n/a,4.82
5/24,True,n/a,6.53
5/25,True,n/a,4.69
5/26,True,n/a,7.46
5/27,False,n/a,4.77
5/28,False,n/a,5.05
5/29,True,n/a,5.5
5/30,True,n/a,3.77
5/31,True,n/a,4.91
6/1,True,n/a,9.0
6/2,True,n/a,4.81
6/3,True,n/a,3.31
6/5,False,n/a,3.78
6/6,True,n/a,4.95
6/7,False,n/a,10.13
6/8,False,n/a,5.51
6/10,True,n/a,3.39
6/11,False,n/a,4.54
6/13,True,n/a,5.27
6/14,False,n/a,2.07
6/15,True,n/a,4.14
6/16,True,n/a,5.53
6/17,True,n/a,3.3
6/18,False,n/a,2.15
6/20,False,n/a,3.32
6/21,True,n/a,4.88
6/23,True,n/a,5.56
6/24,True,n/a,inf
6/26,False,n/a,4.84
6/27,False,n/a,5.03
6/28,True,n/a,6.28
6/29,False,n/a,2.69
6/30,True,n/a,2.86
7/1,True,n/a,4.21
7/2,False,n/a,2.84
7/3,False,n/a,4.02
7/4,True,n/a,5.11
7/5,False,n/a,5.81
7/6,False,n/a,4.31
7/10,True,n/a,3.92
7/11,True,n/a,13.5
7/12,False,n/a,4.95
7/13,True,n/a,6.75
7/14,False,n/a,6.8
7/15,True,n/a,4.8
7/16,False,n/a,4.09
7/17,True,n/a,8.77
7/18,True,n/a,8.44
7/19,True,n/a,6.0
7/20,False,n/a,4.77
7/22,False,n/a,3.87
7/23,True,n/a,4.8
7/24,True,n/a,6.24
7/25,False,n/a,4.04
7/26,True,n/a,2.67
7/27,False,n/a,3.96
7/28,True,n/a,4.63
7/29,True,n/a,4.95
8/1,True,n/a,3.18
8/3,True,n/a,4.36
8/4,True,n/a,9.54
8/5,False,n/a,5.12
8/6,True,n/a,4.32
8/7,False,n/a,5.54
8/8,True,n/a,4.29
8/9,False,n/a,3.66
8/10,True,n/a,5.26
8/26,True,n/a,2.9
8/27,False,n/a,4.79
8/29,False,n/a,3.32
8/30,True,n/a,5.14
8/31,True,n/a,3.55
9/1,True,n/a,4.68
9/2,True,n/a,3.57
9/3,True,n/a,inf
9/4,False,n/a,4.71
9/5,True,n/a,3.92
9/6,False,n/a,3.91
9/7,True,n/a,6.94
9/8,False,n/a,6.03
9/9,False,n/a,4.7
9/12,True,n/a,4.79
9/13,True,n/a,4.1
9/14,True,n/a,4.45
9/15,True,n/a,5.25
9/16,True,n/a,3.63
9/17,False,n/a,4.32
9/18,False,n/a,4.65
9/19,True,n/a,3.79
9/20,True,n/a,5.17
9/21,False,n/a,23.68
