date,hitVal,otherInfo,opPitcherEra
4/4,True,n/a,inf
4/6,False,n/a,inf
4/9,False,n/a,3.0
4/11,True,n/a,inf
4/14,False,n/a,1.02
4/18,True,n/a,2.13
4/19,False,n/a,1.46
4/21,False,n/a,5.06
4/22,False,n/a,4.5
4/25,True,n/a,3.38
4/29,True,n/a,3.46
4/30,True,n/a,3.46
5/3,False,n/a,6.48
5/4,True,n/a,2.21
5/6,True,n/a,7.02
5/10,True,n/a,4.62
5/13,False,n/a,4.79
5/16,True,n/a,2.29
5/17,False,n/a,4.04
5/20,False,n/a,0.64
5/23,False,n/a,3.25
5/25,False,n/a,2.32
5/26,False,n/a,5.08
5/28,True,n/a,7.37
5/31,True,n/a,7.33
6/6,True,n/a,5.4
6/7,True,n/a,5.15
6/9,True,n/a,4.37
6/13,False,n/a,2.76
6/14,False,n/a,3.84
6/18,False,n/a,3.36
6/21,True,n/a,3.9
6/24,True,n/a,3.31
6/26,True,n/a,6.61
6/29,False,n/a,5.07
7/1,True,n/a,5.26
7/4,True,n/a,6.88
7/6,True,n/a,6.13
7/7,False,n/a,4.63
7/14,True,n/a,4.37
7/15,True,n/a,4.0
7/19,False,n/a,5.18
7/20,True,n/a,4.33
7/24,True,n/a,5.05
7/25,True,n/a,4.68
7/29,False,n/a,5.42
7/30,False,n/a,3.63
7/31,False,n/a,4.96
8/4,False,n/a,3.43
8/5,True,n/a,inf
8/9,True,n/a,6.57
8/11,False,n/a,4.33
8/15,False,n/a,6.21
8/16,True,n/a,5.64
8/20,False,n/a,3.76
8/21,True,n/a,3.73
8/26,True,n/a,4.52
8/27,True,n/a,4.53
8/30,True,n/a,4.65
8/31,True,n/a,5.09
9/1,False,n/a,5.22
9/5,False,n/a,4.38
9/6,False,n/a,4.34
9/9,True,n/a,3.29
9/11,False,n/a,6.58
9/16,False,n/a,5.86
9/17,True,n/a,4.0
9/21,True,n/a,4.73
9/22,False,n/a,3.95
9/27,True,n/a,1.69
9/30,False,n/a,6.02
