date,hitVal,otherInfo,opPitcherEra
4/2,True,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,False,n/a,inf
4/8,False,n/a,1.8
4/10,False,n/a,4.77
4/12,True,n/a,9.54
4/13,True,n/a,1.29
4/14,True,n/a,10.61
4/15,True,n/a,3.46
4/17,True,n/a,6.75
4/18,True,n/a,inf
4/19,True,n/a,5.29
4/20,True,n/a,9.65
4/22,False,n/a,3.44
4/24,True,n/a,1.04
4/25,True,n/a,4.84
4/26,True,n/a,6.64
4/27,False,n/a,3.52
4/29,True,n/a,2.71
5/1,False,n/a,7.62
5/2,True,n/a,4.6
5/3,True,n/a,2.76
5/4,True,n/a,3.58
5/5,False,n/a,6.47
5/7,True,n/a,3.34
5/8,False,n/a,4.71
5/9,False,n/a,6.75
5/11,True,n/a,7.84
5/12,True,n/a,7.45
5/13,True,n/a,5.06
5/15,True,n/a,4.39
5/16,True,n/a,5.77
5/17,True,n/a,3.46
5/18,True,n/a,2.63
5/19,True,n/a,6.13
5/20,True,n/a,2.82
5/21,True,n/a,3.12
5/22,True,n/a,6.54
5/23,True,n/a,2.81
5/24,True,n/a,4.85
5/25,True,n/a,2.8
5/27,True,n/a,4.22
5/28,False,n/a,3.09
5/29,False,n/a,6.4
5/30,True,n/a,4.85
6/1,True,n/a,5.51
6/2,False,n/a,4.5
6/3,False,n/a,4.98
6/4,True,n/a,3.15
6/5,True,n/a,4.32
6/7,True,n/a,4.9
6/8,False,n/a,7.05
6/9,False,n/a,4.88
6/10,True,n/a,3.91
6/12,True,n/a,4.63
6/13,True,n/a,3.92
6/14,True,n/a,inf
6/15,True,n/a,3.77
6/16,False,n/a,4.66
6/17,False,n/a,3.57
6/19,True,n/a,4.78
6/20,True,n/a,5.14
6/22,False,n/a,5.31
6/23,True,n/a,3.42
6/24,False,n/a,2.73
6/25,False,n/a,inf
6/26,False,n/a,2.55
6/27,True,n/a,5.33
6/29,False,n/a,3.48
7/1,True,n/a,6.8
7/2,False,n/a,5.15
7/3,False,n/a,4.11
7/4,True,n/a,5.88
7/5,True,n/a,inf
7/6,True,n/a,5.33
7/7,True,n/a,4.83
7/8,True,n/a,3.32
7/12,True,n/a,4.42
7/13,True,n/a,4.76
7/14,False,n/a,3.19
7/15,False,n/a,6.2
7/16,False,n/a,7.41
7/17,True,n/a,5.84
7/18,True,n/a,4.32
7/19,False,n/a,5.88
7/20,False,n/a,3.66
7/21,False,n/a,3.1
7/22,False,n/a,4.52
7/23,True,n/a,4.64
7/24,True,n/a,5.42
7/26,True,n/a,2.97
7/27,True,n/a,4.52
7/28,True,n/a,inf
7/29,True,n/a,2.57
7/31,True,n/a,3.86
8/1,True,n/a,4.94
8/3,False,n/a,4.52
8/4,True,n/a,2.72
8/5,True,n/a,4.62
8/7,True,n/a,5.48
8/8,False,n/a,4.43
8/9,True,n/a,3.79
8/11,True,n/a,inf
8/12,True,n/a,3.92
8/14,True,n/a,2.63
8/15,False,n/a,3.98
8/16,True,n/a,4.0
8/17,True,n/a,2.89
8/18,True,n/a,3.8
8/19,False,n/a,3.73
8/21,False,n/a,24.0
8/22,True,n/a,3.88
8/24,True,n/a,3.52
8/25,True,n/a,5.27
8/26,True,n/a,3.33
8/27,True,n/a,3.98
8/28,False,n/a,2.45
8/29,True,n/a,5.41
8/30,True,n/a,3.22
8/31,True,n/a,4.47
9/2,False,n/a,5.51
9/3,True,n/a,1.2
9/4,True,n/a,3.71
9/5,False,n/a,2.91
9/6,True,n/a,3.04
9/7,True,n/a,5.4
9/8,True,n/a,1.23
9/9,True,n/a,11.59
9/18,False,n/a,2.5
9/19,True,n/a,4.76
9/20,True,n/a,3.55
9/21,True,n/a,3.25
9/22,True,n/a,4.86
9/23,True,n/a,5.22
9/24,True,n/a,4.63
9/25,False,n/a,inf
9/26,True,n/a,6.88
9/28,True,n/a,5.79
9/29,True,n/a,5.25
9/30,False,n/a,4.1
10/2,True,n/a,4.48
10/3,True,n/a,5.58
10/4,True,n/a,4.7
10/5,True,n/a,inf
