date,hitVal,otherInfo
4/3,True,n/a
4/4,True,n/a
4/5,False,n/a
4/6,True,n/a
4/7,True,n/a
4/8,False,n/a
4/9,True,n/a
4/13,True,n/a
4/15,False,n/a
4/16,False,n/a
4/17,True,n/a
4/22,True,n/a
4/26,False,n/a
5/2,False,n/a
5/13,True,n/a
5/18,False,n/a
5/19,True,n/a
5/27,False,n/a
5/31,True,n/a
6/2,False,n/a
6/7,False,n/a
6/15,False,n/a
6/22,True,n/a
6/23,True,n/a
6/24,True,n/a
6/25,True,n/a
6/26,False,n/a
6/27,True,n/a
6/28,False,n/a
6/29,True,n/a
6/30,False,n/a
7/1,True,n/a
7/2,True,n/a
7/3,True,n/a
7/4,True,n/a
7/5,True,n/a
7/6,True,n/a
7/7,True,n/a
7/8,False,n/a
7/18,True,n/a
7/27,True,n/a
7/28,True,n/a
7/29,True,n/a
7/31,True,n/a
8/1,False,n/a
8/2,True,n/a
8/3,False,n/a
8/4,True,n/a
8/5,False,n/a
8/23,True,n/a
8/24,True,n/a
8/25,True,n/a
8/26,False,n/a
8/28,True,n/a
8/29,True,n/a
8/30,True,n/a
8/31,True,n/a
9/1,True,n/a
9/2,False,n/a
9/3,False,n/a
9/4,True,n/a
9/5,False,n/a
9/7,True,n/a
9/9,True,n/a
9/18,False,n/a
9/19,False,n/a
9/20,True,n/a
9/21,True,n/a
9/22,True,n/a
9/23,True,n/a
9/25,True,n/a
9/26,False,n/a
9/27,True,n/a
9/28,True,n/a
9/29,True,n/a
9/30,True,n/a
10/1,True,n/a
10/2,True,n/a
10/3,True,n/a
10/4,True,n/a
10/5,False,n/a
10/6,True,n/a
