date,hitVal,otherInfo
4/2,True,n/a
4/3,True,n/a
4/4,True,n/a
4/5,False,n/a
4/6,False,n/a
4/7,True,n/a
4/8,False,n/a
4/9,True,n/a
4/11,True,n/a
4/12,True,n/a
4/13,True,n/a
4/14,True,n/a
4/15,True,n/a
4/16,False,n/a
4/17,False,n/a
4/18,False,n/a
4/20,False,n/a
4/21,True,n/a
4/22,True,n/a
4/23,True,n/a
4/24,False,n/a
4/25,True,n/a
4/26,True,n/a
4/27,False,n/a
4/28,True,n/a
4/29,False,n/a
5/1,True,n/a
5/2,False,n/a
5/3,False,n/a
5/4,True,n/a
5/5,True,n/a
5/6,True,n/a
5/8,False,n/a
5/9,False,n/a
5/10,False,n/a
5/11,True,n/a
5/12,False,n/a
5/13,False,n/a
5/15,True,n/a
5/16,True,n/a
5/17,True,n/a
5/18,True,n/a
5/19,False,n/a
5/20,True,n/a
5/21,True,n/a
5/22,False,n/a
5/25,True,n/a
5/26,True,n/a
5/27,True,n/a
5/28,True,n/a
5/29,True,n/a
5/30,True,n/a
6/1,True,n/a
6/3,True,n/a
6/5,True,n/a
6/6,True,n/a
6/7,True,n/a
6/8,False,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/12,False,n/a
6/13,True,n/a
6/15,True,n/a
6/22,True,n/a
6/23,True,n/a
6/24,True,n/a
6/25,True,n/a
6/26,True,n/a
6/27,True,n/a
6/28,True,n/a
6/29,True,n/a
6/30,True,n/a
7/1,False,n/a
7/3,True,n/a
7/4,False,n/a
7/5,True,n/a
7/6,False,n/a
