date,hitVal,otherInfo,opPitcherEra
4/3,True,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,3.6
4/8,False,n/a,0.0
4/10,False,n/a,0.0
4/11,True,n/a,8.44
4/12,True,n/a,11.0
4/13,True,n/a,3.86
4/14,False,n/a,6.75
4/15,True,n/a,5.59
4/16,False,n/a,2.92
4/17,True,n/a,5.28
4/18,True,n/a,27.04
4/19,False,n/a,4.24
4/20,False,n/a,4.5
4/21,False,n/a,4.77
4/22,True,n/a,3.0
4/24,True,n/a,3.64
4/25,True,n/a,4.86
4/26,True,n/a,6.45
4/27,True,n/a,2.81
4/28,False,n/a,1.62
4/29,False,n/a,10.45
5/1,True,n/a,3.23
5/2,False,n/a,inf
5/3,True,n/a,4.91
5/4,True,n/a,9.43
5/5,False,n/a,4.36
5/6,False,n/a,3.34
5/8,True,n/a,4.24
5/9,True,n/a,5.52
5/10,True,n/a,3.68
5/11,True,n/a,3.13
5/12,False,n/a,0.0
5/13,True,n/a,5.4
5/15,False,n/a,3.58
5/16,True,n/a,6.31
5/17,True,n/a,4.99
5/18,True,n/a,5.6
5/19,False,n/a,inf
5/20,True,n/a,3.86
5/23,True,n/a,5.15
5/24,True,n/a,3.44
5/25,True,n/a,3.94
5/26,True,n/a,6.62
5/27,False,n/a,5.06
5/28,True,n/a,9.01
5/29,True,n/a,3.62
5/30,True,n/a,2.97
5/31,True,n/a,21.69
6/1,True,n/a,4.44
6/2,False,n/a,5.2
6/3,True,n/a,3.91
6/5,False,n/a,3.27
6/6,True,n/a,3.97
6/7,True,n/a,5.35
6/8,False,n/a,0.66
6/9,False,n/a,inf
6/10,False,n/a,5.2
6/12,False,n/a,6.17
6/13,True,n/a,4.04
6/14,True,n/a,5.9
6/15,False,n/a,inf
6/16,False,n/a,4.65
6/17,True,n/a,4.55
6/19,True,n/a,inf
6/20,True,n/a,5.28
6/21,False,n/a,6.18
6/22,False,n/a,3.49
6/23,False,n/a,4.54
6/25,True,n/a,5.29
6/26,True,n/a,5.98
6/27,True,n/a,5.08
6/28,True,n/a,6.23
6/29,True,n/a,4.33
6/30,True,n/a,inf
7/1,True,n/a,3.73
7/2,False,n/a,3.4
7/3,True,n/a,4.81
7/4,False,n/a,4.66
7/5,True,n/a,6.49
7/6,False,n/a,3.76
7/7,True,n/a,4.37
7/8,True,n/a,5.3
7/12,False,n/a,4.76
7/13,True,n/a,3.2
7/14,False,n/a,2.71
7/15,True,n/a,4.31
7/16,True,n/a,3.32
7/17,False,n/a,4.15
7/18,True,n/a,4.63
7/19,True,n/a,5.77
7/21,True,n/a,2.65
7/22,True,n/a,4.98
7/23,True,n/a,5.55
7/24,True,n/a,4.27
7/25,False,n/a,7.11
7/26,True,n/a,6.68
7/27,True,n/a,3.18
7/28,False,n/a,5.2
7/29,False,n/a,6.03
7/31,True,n/a,3.35
8/1,True,n/a,3.86
8/2,True,n/a,1.5
8/3,True,n/a,3.42
8/4,True,n/a,3.58
8/5,False,n/a,4.81
8/6,False,n/a,9.0
8/7,True,n/a,3.93
8/8,False,n/a,3.02
8/9,True,n/a,3.24
8/10,True,n/a,1.23
8/11,True,n/a,5.18
8/12,False,n/a,4.24
8/14,False,n/a,18.0
8/15,True,n/a,4.35
8/16,True,n/a,3.86
8/17,True,n/a,6.14
8/18,False,n/a,4.42
8/19,True,n/a,4.14
8/20,False,n/a,4.81
8/21,False,n/a,4.22
8/22,False,n/a,3.57
8/23,True,n/a,0.63
8/24,True,n/a,3.62
8/25,True,n/a,3.6
8/28,True,n/a,6.32
8/29,False,n/a,4.68
8/30,True,n/a,4.7
8/31,False,n/a,4.04
9/1,True,n/a,5.36
9/2,False,n/a,6.75
9/4,True,n/a,4.7
9/5,True,n/a,4.54
9/6,True,n/a,3.67
9/7,False,n/a,5.62
9/8,True,n/a,5.55
9/9,False,n/a,4.26
9/10,True,n/a,3.09
9/18,False,n/a,2.98
9/19,False,n/a,3.35
9/20,True,n/a,3.72
9/21,True,n/a,7.08
9/22,True,n/a,7.2
9/23,True,n/a,5.04
9/25,True,n/a,3.38
9/26,True,n/a,3.56
9/27,True,n/a,3.61
9/28,True,n/a,7.0
9/29,True,n/a,4.91
9/30,True,n/a,4.47
10/2,False,n/a,4.27
10/3,True,n/a,3.02
10/4,False,n/a,3.56
10/5,True,n/a,3.42
10/6,True,n/a,3.57
10/7,False,n/a,3.53
