date,hitVal,otherInfo,opPitcherEra
4/2,False,n/a,inf
4/5,True,n/a,inf
4/7,True,n/a,2.46
4/10,False,n/a,1.29
4/12,True,n/a,14.55
4/13,False,n/a,9.29
4/14,True,n/a,2.25
4/15,True,n/a,11.43
4/18,True,n/a,7.56
4/20,False,n/a,3.21
4/21,True,n/a,9.22
4/24,True,n/a,7.8
4/25,False,n/a,6.75
4/26,False,n/a,3.42
4/27,True,n/a,2.91
4/28,True,n/a,2.46
4/29,False,n/a,6.87
5/1,False,n/a,5.27
5/3,True,n/a,3.0
5/5,True,n/a,1.53
5/7,True,n/a,inf
5/8,False,n/a,3.89
5/9,True,n/a,4.67
5/10,True,n/a,5.89
5/11,False,n/a,8.37
5/12,False,n/a,3.09
5/16,True,n/a,5.25
5/17,True,n/a,4.06
5/19,True,n/a,5.61
5/20,True,n/a,2.52
5/21,False,n/a,7.32
5/23,True,n/a,4.5
5/25,True,n/a,2.97
5/26,False,n/a,5.88
5/27,False,n/a,6.32
5/28,True,n/a,4.43
6/1,True,n/a,5.91
6/2,False,n/a,1.93
6/3,True,n/a,5.16
6/4,True,n/a,5.4
6/5,True,n/a,4.71
6/6,True,n/a,2.76
6/12,True,n/a,5.69
6/15,True,n/a,3.64
6/17,True,n/a,4.44
6/20,False,n/a,3.15
6/23,True,n/a,5.41
6/25,False,n/a,5.68
6/27,True,n/a,6.22
6/28,True,n/a,4.44
6/29,True,n/a,4.29
7/5,True,n/a,3.37
7/6,False,n/a,3.44
7/8,False,n/a,3.64
7/12,True,n/a,3.77
7/13,False,n/a,3.02
7/15,True,n/a,5.52
7/18,True,n/a,5.06
7/19,False,n/a,3.07
7/20,False,n/a,6.88
8/12,False,n/a,4.5
9/2,True,n/a,2.92
9/5,False,n/a,4.21
9/7,True,n/a,4.44
9/8,False,n/a,7.74
9/26,False,n/a,3.27
9/29,True,n/a,3.54
10/2,True,n/a,3.03
10/4,True,n/a,6.75
