date,hitVal,otherInfo,opPitcherEra
4/19,False,n/a,4.5
4/20,True,n/a,0.69
4/21,False,n/a,1.17
4/23,False,n/a,2.65
4/25,True,n/a,4.03
4/26,True,n/a,2.49
4/27,True,n/a,3.47
4/28,True,n/a,3.6
4/29,True,n/a,5.76
5/1,True,n/a,3.6
5/2,True,n/a,2.92
5/3,True,n/a,3.72
5/4,True,n/a,4.4
5/5,True,n/a,5.4
5/6,True,n/a,5.24
5/8,True,n/a,1.94
5/9,True,n/a,3.47
5/10,False,n/a,3.77
5/11,True,n/a,1.13
5/12,False,n/a,1.5
5/15,False,n/a,2.91
5/16,True,n/a,5.25
5/17,True,n/a,7.05
5/18,True,n/a,6.5
5/19,True,n/a,2.57
5/20,True,n/a,4.67
5/21,True,n/a,5.45
5/22,True,n/a,5.89
5/24,True,n/a,4.45
5/25,False,n/a,5.09
5/26,False,n/a,2.99
5/27,False,n/a,6.57
5/29,False,n/a,5.04
5/31,False,n/a,5.78
6/1,True,n/a,2.77
6/2,False,n/a,5.73
6/3,False,n/a,2.84
6/4,False,n/a,2.79
6/5,True,n/a,6.81
6/6,False,n/a,6.41
6/9,True,n/a,4.06
6/10,False,n/a,5.37
6/12,False,n/a,3.75
6/13,False,n/a,5.45
6/15,False,n/a,4.18
6/16,True,n/a,4.8
6/20,True,n/a,5.73
6/21,False,n/a,2.41
6/23,True,n/a,4.36
6/25,True,n/a,5.06
6/26,True,n/a,3.6
6/27,True,n/a,6.45
6/30,False,n/a,inf
7/1,False,n/a,3.0
7/3,True,n/a,5.01
7/6,True,n/a,5.3
7/7,True,n/a,5.02
7/8,True,n/a,5.96
7/13,False,n/a,2.27
7/16,True,n/a,4.62
7/17,True,n/a,4.66
7/20,True,n/a,3.61
7/23,True,n/a,9.0
7/24,False,n/a,2.7
7/27,False,n/a,5.11
7/29,True,n/a,3.64
8/1,False,n/a,4.15
8/2,False,n/a,4.04
8/9,False,n/a,4.42
8/10,True,n/a,4.11
8/11,True,n/a,4.84
8/15,True,n/a,3.48
8/16,False,n/a,4.06
8/19,False,n/a,3.89
8/24,False,n/a,5.2
8/25,True,n/a,4.71
8/29,False,n/a,3.77
8/31,False,n/a,5.26
9/1,True,n/a,3.23
9/2,False,n/a,2.4
9/3,False,n/a,4.3
9/7,True,n/a,2.31
9/8,True,n/a,5.15
9/17,True,n/a,2.75
9/18,True,n/a,4.33
9/21,True,n/a,3.67
9/22,True,n/a,3.96
9/24,True,n/a,4.34
9/25,True,n/a,5.05
9/28,True,n/a,3.81
9/29,True,n/a,3.41
9/30,False,n/a,5.15
10/2,False,n/a,6.21
10/3,False,n/a,4.83
10/4,True,n/a,4.86
10/5,False,n/a,5.4
10/6,True,n/a,6.35
