date,hitVal,otherInfo,opPitcherEra
4/2,True,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,6.75
4/8,True,n/a,5.79
4/9,True,n/a,0.0
4/10,True,n/a,1.8
4/11,True,n/a,9.0
4/13,False,n/a,5.4
4/14,True,n/a,inf
4/15,True,n/a,4.77
4/17,True,n/a,4.5
4/18,False,n/a,1.5
4/20,True,n/a,5.4
4/21,True,n/a,3.64
4/22,False,n/a,4.15
4/24,True,n/a,3.18
4/25,True,n/a,3.27
4/26,False,n/a,9.82
4/27,False,n/a,10.81
4/28,True,n/a,5.57
4/29,True,n/a,7.58
5/1,False,n/a,3.81
5/2,True,n/a,5.65
5/3,True,n/a,3.55
5/4,True,n/a,inf
5/5,True,n/a,5.1
5/6,False,n/a,5.56
5/7,True,n/a,3.32
5/8,False,n/a,3.7
5/9,True,n/a,3.68
5/10,True,n/a,3.78
5/11,True,n/a,3.91
5/12,False,n/a,2.25
5/13,False,n/a,6.89
5/15,True,n/a,7.05
5/16,True,n/a,6.51
5/17,True,n/a,6.22
5/18,False,n/a,3.01
5/19,True,n/a,3.86
5/20,True,n/a,4.34
5/24,True,n/a,5.44
5/25,False,n/a,6.92
5/27,True,n/a,4.19
5/28,True,n/a,4.74
5/29,True,n/a,5.44
5/30,True,n/a,4.15
6/1,True,n/a,4.31
6/2,True,n/a,4.06
6/3,True,n/a,3.21
6/5,False,n/a,4.8
6/6,True,n/a,3.01
6/7,True,n/a,2.76
6/8,True,n/a,4.56
6/9,True,n/a,4.94
6/10,True,n/a,1.89
6/12,False,n/a,2.6
6/13,True,n/a,27.0
6/14,True,n/a,2.83
6/15,False,n/a,5.21
6/16,True,n/a,7.11
6/17,True,n/a,3.28
6/18,True,n/a,3.48
6/19,True,n/a,2.94
6/20,True,n/a,3.33
6/21,False,n/a,6.58
6/22,True,n/a,4.45
6/23,True,n/a,4.23
6/24,True,n/a,3.42
6/25,False,n/a,3.53
6/26,False,n/a,4.42
6/27,True,n/a,2.96
6/28,True,n/a,4.55
6/29,True,n/a,6.9
6/30,False,n/a,11.83
7/1,False,n/a,4.27
7/3,True,n/a,3.21
7/4,False,n/a,5.56
7/5,False,n/a,6.1
7/6,True,n/a,5.49
7/7,True,n/a,12.01
7/8,True,n/a,3.97
7/12,False,n/a,2.49
7/13,True,n/a,3.29
7/14,False,n/a,2.52
7/15,False,n/a,4.66
7/16,False,n/a,5.16
7/17,True,n/a,4.53
7/18,False,n/a,3.78
7/19,True,n/a,4.01
7/20,True,n/a,6.85
7/21,True,n/a,6.09
7/22,True,n/a,5.42
7/23,True,n/a,3.14
7/24,True,n/a,3.87
7/25,False,n/a,3.86
7/26,False,n/a,3.05
7/27,False,n/a,3.13
7/28,True,n/a,7.59
7/29,True,n/a,2.87
7/31,True,n/a,3.57
8/1,True,n/a,4.32
8/2,False,n/a,inf
8/3,False,n/a,inf
8/4,True,n/a,2.25
8/5,True,n/a,4.99
8/7,True,n/a,5.34
8/8,True,n/a,5.54
8/9,True,n/a,5.1
8/10,False,n/a,3.56
8/11,True,n/a,5.84
8/12,True,n/a,4.66
8/13,True,n/a,4.67
8/14,True,n/a,3.41
8/15,True,n/a,5.31
8/17,False,n/a,4.62
8/18,True,n/a,2.29
8/19,True,n/a,4.67
8/20,True,n/a,5.29
8/21,True,n/a,5.4
8/22,True,n/a,2.94
8/23,True,n/a,4.49
8/24,True,n/a,3.2
8/25,False,n/a,3.86
8/26,True,n/a,4.36
8/28,True,n/a,4.54
8/29,False,n/a,5.14
8/30,False,n/a,4.62
8/31,True,n/a,2.53
9/1,True,n/a,2.8
9/2,True,n/a,4.3
9/3,True,n/a,5.14
9/4,False,n/a,inf
9/5,True,n/a,4.29
9/7,False,n/a,2.93
9/8,True,n/a,3.66
9/9,True,n/a,4.26
9/10,True,n/a,5.03
9/18,True,n/a,4.63
9/19,True,n/a,inf
9/20,True,n/a,3.75
9/21,True,n/a,5.41
9/22,False,n/a,4.52
9/23,True,n/a,5.16
9/24,True,n/a,3.9
9/25,False,n/a,5.49
9/26,False,n/a,5.5
9/27,True,n/a,4.55
9/28,True,n/a,2.53
9/29,False,n/a,4.25
9/30,False,n/a,3.56
10/2,True,n/a,4.56
10/3,True,n/a,2.8
10/4,False,n/a,5.77
10/5,True,n/a,3.71
10/6,True,n/a,4.54
