date,hitVal,otherInfo,opPitcherEra
3/31,True,n/a,inf
4/2,False,n/a,inf
4/4,True,n/a,inf
4/8,True,n/a,4.5
4/9,False,n/a,3.6
4/10,True,n/a,1.29
4/11,True,n/a,9.66
4/12,True,n/a,1.29
4/14,True,n/a,4.05
4/15,False,n/a,4.5
4/18,True,n/a,4.59
4/19,True,n/a,3.71
4/20,True,n/a,4.11
4/22,False,n/a,4.84
4/23,True,n/a,7.52
4/25,False,n/a,3.64
4/26,True,n/a,3.81
4/27,True,n/a,4.5
4/29,True,n/a,2.35
4/30,True,n/a,3.0
5/1,True,n/a,4.82
5/2,True,n/a,3.18
5/3,True,n/a,1.5
5/4,True,n/a,2.5
5/5,False,n/a,5.1
5/6,True,n/a,4.5
5/7,False,n/a,6.23
5/9,True,n/a,2.92
5/10,False,n/a,3.0
5/13,False,n/a,5.45
5/14,False,n/a,5.53
5/15,True,n/a,5.55
5/16,False,n/a,3.95
5/17,True,n/a,2.13
5/18,False,n/a,5.08
5/19,True,n/a,3.27
5/20,True,n/a,5.4
5/21,True,n/a,3.96
5/23,True,n/a,4.31
5/24,True,n/a,3.32
5/25,True,n/a,4.16
5/26,True,n/a,5.23
5/27,False,n/a,6.75
5/28,False,n/a,inf
5/31,False,n/a,3.3
6/1,False,n/a,3.25
6/3,True,n/a,5.7
6/4,True,n/a,4.21
6/5,True,n/a,5.79
6/6,False,n/a,5.82
6/7,True,n/a,4.14
6/8,True,n/a,3.63
6/10,True,n/a,6.3
6/11,True,n/a,2.83
6/12,True,n/a,5.35
6/13,True,n/a,3.81
6/14,False,n/a,5.33
6/16,False,n/a,5.27
6/17,True,n/a,3.92
6/20,True,n/a,6.0
6/21,False,n/a,4.04
6/24,True,n/a,7.17
6/25,True,n/a,4.22
6/26,True,n/a,7.08
6/27,True,n/a,4.18
6/28,True,n/a,3.97
6/29,True,n/a,6.18
6/30,True,n/a,2.23
7/1,False,n/a,4.16
7/2,False,n/a,3.65
7/3,True,n/a,3.86
7/4,True,n/a,2.9
7/5,True,n/a,5.38
7/6,True,n/a,2.54
7/7,True,n/a,3.35
7/8,True,n/a,4.44
7/9,True,n/a,2.74
7/10,True,n/a,3.85
7/11,True,n/a,4.48
7/13,True,n/a,4.24
7/18,True,n/a,2.94
7/19,False,n/a,2.3
7/21,False,n/a,4.55
7/25,True,n/a,3.53
8/5,False,n/a,4.28
8/6,True,n/a,2.5
8/7,False,n/a,3.18
8/8,False,n/a,3.53
8/9,False,n/a,5.61
8/11,False,n/a,3.63
8/12,True,n/a,5.07
8/13,True,n/a,4.71
8/14,False,n/a,4.2
8/15,True,n/a,3.74
8/16,True,n/a,3.78
8/17,True,n/a,inf
8/19,False,n/a,4.96
8/20,False,n/a,4.28
8/21,True,n/a,3.27
8/22,False,n/a,3.86
8/23,True,n/a,2.57
8/24,False,n/a,3.83
8/26,True,n/a,2.54
8/27,True,n/a,3.8
8/28,False,n/a,2.94
8/29,True,n/a,2.7
8/30,True,n/a,4.13
9/1,False,n/a,2.47
9/2,True,n/a,2.88
9/9,False,n/a,5.13
9/10,False,n/a,6.63
9/12,False,n/a,4.15
9/13,True,n/a,3.42
9/14,False,n/a,3.89
9/15,True,n/a,4.56
9/16,False,n/a,6.0
9/17,False,n/a,4.22
9/26,True,n/a,5.12
9/28,True,n/a,2.75
