date,hitVal,otherInfo,opPitcherEra
3/31,True,n/a,inf
4/1,True,n/a,inf
4/2,False,n/a,inf
4/3,True,n/a,inf
4/4,True,n/a,inf
4/5,False,n/a,inf
4/6,True,n/a,3.0
4/8,True,n/a,37.95
4/9,True,n/a,1.35
4/10,False,n/a,3.55
4/12,True,n/a,0.0
4/13,True,n/a,8.44
4/15,True,n/a,12.97
4/16,True,n/a,4.5
4/17,True,n/a,4.34
4/18,True,n/a,8.6
4/19,False,n/a,4.42
4/20,True,n/a,4.45
4/22,True,n/a,inf
4/23,False,n/a,5.57
4/24,False,n/a,11.05
4/25,False,n/a,4.33
4/26,False,n/a,0.5
4/27,True,n/a,8.51
4/29,True,n/a,4.77
4/30,True,n/a,6.4
5/1,True,n/a,inf
5/2,True,n/a,4.8
5/3,True,n/a,6.26
5/4,True,n/a,3.77
5/5,True,n/a,4.91
5/6,True,n/a,5.12
5/7,True,n/a,1.8
5/9,True,n/a,1.59
5/10,True,n/a,4.14
5/11,True,n/a,5.66
5/13,True,n/a,5.82
5/14,True,n/a,5.11
5/15,True,n/a,10.81
5/16,True,n/a,5.87
5/17,True,n/a,3.79
5/18,True,n/a,6.84
5/19,True,n/a,3.26
5/20,True,n/a,4.79
5/21,True,n/a,2.92
5/23,True,n/a,4.31
5/24,True,n/a,5.14
5/25,True,n/a,5.81
5/26,True,n/a,2.92
5/27,False,n/a,5.28
5/28,True,n/a,2.54
5/31,True,n/a,5.31
6/1,True,n/a,4.0
6/4,True,n/a,3.73
6/5,True,n/a,4.03
6/6,False,n/a,5.28
6/7,True,n/a,4.74
6/8,True,n/a,7.38
6/10,True,n/a,1.99
6/11,True,n/a,4.71
6/12,True,n/a,4.81
6/13,True,n/a,6.2
6/14,True,n/a,3.47
6/15,True,n/a,4.83
6/16,True,n/a,5.18
6/17,True,n/a,3.99
6/18,True,n/a,2.24
6/19,False,n/a,6.0
6/21,True,n/a,3.3
6/22,False,n/a,3.73
6/23,True,n/a,5.26
6/24,True,n/a,4.06
6/25,True,n/a,5.19
6/26,True,n/a,3.18
6/27,True,n/a,4.21
6/28,True,n/a,3.09
6/29,False,n/a,4.19
7/1,True,n/a,4.56
7/2,True,n/a,9.7
7/3,False,n/a,inf
7/4,True,n/a,3.41
7/5,False,n/a,3.37
7/6,False,n/a,4.78
7/7,True,n/a,3.29
7/8,False,n/a,3.64
7/10,False,n/a,5.69
7/11,True,n/a,4.81
7/12,False,n/a,3.58
7/13,True,n/a,3.6
7/17,True,n/a,3.41
7/18,True,n/a,4.72
7/19,True,n/a,5.96
7/20,True,n/a,45.0
7/21,True,n/a,4.88
7/22,True,n/a,5.01
7/23,False,n/a,inf
7/24,True,n/a,4.0
7/25,True,n/a,3.83
7/26,True,n/a,3.3
7/27,False,n/a,5.31
7/29,True,n/a,5.1
7/31,True,n/a,8.33
8/1,False,n/a,4.92
8/2,True,n/a,6.03
8/3,False,n/a,5.48
8/5,True,n/a,5.18
8/6,True,n/a,4.88
8/7,True,n/a,4.21
8/8,True,n/a,5.57
8/9,False,n/a,1.35
8/10,True,n/a,3.94
8/11,True,n/a,2.64
8/12,True,n/a,3.14
8/13,True,n/a,2.94
8/14,False,n/a,4.86
8/15,True,n/a,3.5
8/17,False,n/a,5.28
8/19,True,n/a,3.09
8/20,True,n/a,4.71
8/21,True,n/a,3.0
8/22,True,n/a,3.63
8/23,False,n/a,5.08
8/24,True,n/a,3.73
8/25,True,n/a,3.93
8/26,False,n/a,5.14
8/27,False,n/a,3.55
8/29,True,n/a,3.62
8/30,True,n/a,4.01
8/31,False,n/a,3.96
9/1,True,n/a,4.04
9/2,False,n/a,4.18
9/3,True,n/a,4.27
9/5,True,n/a,4.01
9/6,True,n/a,4.01
9/7,False,n/a,4.45
9/8,True,n/a,5.36
9/9,False,n/a,4.99
9/10,True,n/a,3.77
9/12,False,n/a,5.42
9/13,False,n/a,3.99
9/15,True,n/a,4.3
9/16,True,n/a,inf
9/17,False,n/a,4.44
9/18,True,n/a,5.46
9/19,True,n/a,4.38
9/20,False,n/a,5.03
9/21,False,n/a,3.19
9/22,False,n/a,3.91
9/23,True,n/a,3.86
9/24,False,n/a,4.09
9/25,True,n/a,5.77
9/26,False,n/a,inf
9/27,True,n/a,5.29
