date,hitVal,otherInfo,opPitcherEra
4/3,True,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,12.3
4/6,False,n/a,inf
4/8,True,n/a,9.0
4/9,False,n/a,1.5
4/10,True,n/a,9.0
4/11,False,n/a,0.0
4/12,True,n/a,inf
4/13,False,n/a,2.13
4/14,True,n/a,4.91
4/15,True,n/a,inf
4/16,False,n/a,6.0
4/17,False,n/a,4.24
4/19,False,n/a,6.06
4/20,True,n/a,8.62
4/22,True,n/a,0.0
4/23,False,n/a,5.56
4/24,True,n/a,3.75
4/25,True,n/a,6.53
4/26,False,n/a,6.77
4/27,True,n/a,2.95
4/29,False,n/a,2.57
4/30,True,n/a,4.39
5/1,True,n/a,6.07
5/2,True,n/a,8.35
5/3,True,n/a,4.97
5/4,True,n/a,2.53
5/6,True,n/a,4.21
5/7,True,n/a,7.61
5/8,True,n/a,3.53
5/9,False,n/a,2.84
5/10,False,n/a,3.41
5/12,False,n/a,2.11
5/13,True,n/a,4.21
5/14,True,n/a,5.18
5/15,True,n/a,5.86
5/16,False,n/a,6.21
5/17,True,n/a,9.0
5/18,True,n/a,3.91
5/20,True,n/a,4.91
5/21,True,n/a,3.63
5/22,False,n/a,5.56
5/23,True,n/a,2.87
5/24,True,n/a,6.2
5/25,True,n/a,2.59
5/26,True,n/a,4.0
6/3,True,n/a,5.21
6/4,False,n/a,3.22
7/21,True,n/a,3.86
7/22,False,n/a,4.41
7/23,False,n/a,inf
7/24,True,n/a,4.65
7/25,True,n/a,4.17
7/26,True,n/a,5.77
7/28,True,n/a,4.54
7/29,False,n/a,4.75
7/30,True,n/a,4.32
7/31,True,n/a,3.42
8/1,True,n/a,4.93
8/2,False,n/a,inf
8/3,True,n/a,3.88
8/5,True,n/a,4.16
8/6,False,n/a,2.83
8/7,True,n/a,2.78
8/8,True,n/a,4.97
8/9,True,n/a,1.69
8/10,True,n/a,3.12
8/11,True,n/a,4.75
8/12,True,n/a,4.32
8/13,False,n/a,5.9
8/15,False,n/a,5.08
8/16,True,n/a,2.32
8/17,False,n/a,4.5
8/19,True,n/a,2.28
8/20,True,n/a,2.72
8/21,True,n/a,4.28
8/22,True,n/a,4.54
8/23,False,n/a,4.41
8/24,False,n/a,5.33
8/25,True,n/a,3.76
8/26,True,n/a,3.9
8/27,True,n/a,3.89
8/28,True,n/a,3.75
8/29,False,n/a,3.41
8/30,True,n/a,4.26
8/31,True,n/a,3.43
9/1,True,n/a,4.19
9/2,True,n/a,4.5
9/3,True,n/a,3.64
9/5,True,n/a,3.47
9/6,False,n/a,4.12
9/7,False,n/a,3.39
9/9,False,n/a,2.87
9/10,False,n/a,4.12
9/11,True,n/a,2.41
9/12,True,n/a,4.15
9/13,True,n/a,3.85
9/14,True,n/a,4.03
9/15,True,n/a,4.1
9/16,True,n/a,4.16
9/17,True,n/a,3.69
9/18,True,n/a,3.92
9/19,False,n/a,4.18
9/20,True,n/a,6.71
9/21,True,n/a,inf
9/23,False,n/a,5.74
9/24,True,n/a,3.91
9/26,True,n/a,4.83
9/27,False,n/a,4.48
9/28,True,n/a,7.16
