date,hitVal,otherInfo,opPitcherEra
4/1,True,n/a,inf
4/2,True,n/a,inf
4/3,True,n/a,inf
4/4,True,n/a,inf
4/5,False,n/a,4.05
4/6,True,n/a,4.91
4/8,True,n/a,inf
4/9,True,n/a,0.0
4/10,True,n/a,1.42
4/11,True,n/a,1.2
4/12,False,n/a,4.85
4/13,False,n/a,6.46
4/14,False,n/a,4.91
4/15,True,n/a,inf
4/16,True,n/a,5.79
4/17,False,n/a,5.4
4/18,True,n/a,5.49
4/19,False,n/a,7.27
4/20,False,n/a,2.65
4/22,True,n/a,5.79
4/23,True,n/a,3.32
4/24,False,n/a,3.52
4/25,True,n/a,1.5
4/26,True,n/a,5.14
4/27,False,n/a,1.85
4/29,True,n/a,0.0
4/30,True,n/a,5.35
5/1,False,n/a,6.0
5/2,True,n/a,7.43
5/3,True,n/a,2.61
5/4,True,n/a,2.77
5/6,True,n/a,3.5
5/8,True,n/a,6.43
5/9,False,n/a,inf
5/10,True,n/a,5.05
5/11,True,n/a,4.4
5/12,True,n/a,4.95
5/13,True,n/a,3.67
5/14,False,n/a,inf
5/15,True,n/a,3.64
5/16,True,n/a,4.15
5/17,True,n/a,2.73
5/18,True,n/a,4.79
5/20,True,n/a,2.51
5/21,False,n/a,2.76
5/23,True,n/a,2.44
5/24,True,n/a,4.47
5/25,True,n/a,4.87
5/26,True,n/a,3.08
5/27,False,n/a,2.79
5/28,True,n/a,3.3
5/29,True,n/a,3.23
5/30,True,n/a,4.1
5/31,False,n/a,4.83
6/1,False,n/a,3.7
6/2,False,n/a,2.54
6/3,True,n/a,4.48
6/4,False,n/a,3.96
6/5,False,n/a,2.92
6/7,True,n/a,6.36
6/10,False,n/a,5.53
6/11,True,n/a,3.01
6/12,True,n/a,4.82
6/13,True,n/a,3.11
6/14,False,n/a,5.35
6/15,True,n/a,4.3
6/16,True,n/a,4.48
6/17,True,n/a,4.59
6/18,True,n/a,3.6
6/19,True,n/a,4.52
6/20,True,n/a,5.36
6/21,True,n/a,3.0
6/22,True,n/a,5.68
6/23,True,n/a,6.3
6/24,True,n/a,4.86
6/25,True,n/a,5.96
6/27,True,n/a,4.47
6/28,True,n/a,5.23
6/29,True,n/a,4.15
6/30,True,n/a,5.19
7/1,True,n/a,4.67
7/2,True,n/a,6.82
7/3,False,n/a,2.1
7/4,True,n/a,4.77
7/5,True,n/a,2.23
7/6,True,n/a,4.23
7/7,True,n/a,6.45
7/8,True,n/a,2.04
7/9,True,n/a,5.21
7/10,True,n/a,inf
7/11,True,n/a,2.71
7/12,True,n/a,5.35
7/13,True,n/a,3.86
7/17,True,n/a,5.06
7/18,True,n/a,4.48
7/19,True,n/a,2.37
7/20,True,n/a,5.49
7/21,False,n/a,5.57
7/22,True,n/a,2.85
7/23,False,n/a,3.11
7/24,True,n/a,2.26
7/25,True,n/a,inf
7/26,True,n/a,5.0
7/27,True,n/a,4.88
7/29,True,n/a,5.88
7/30,True,n/a,5.46
7/31,False,n/a,1.59
8/1,True,n/a,4.07
8/2,False,n/a,5.35
8/3,True,n/a,3.8
8/5,True,n/a,3.63
8/6,True,n/a,4.79
8/7,True,n/a,3.76
8/8,True,n/a,4.47
8/9,False,n/a,4.21
8/10,True,n/a,inf
8/11,False,n/a,3.86
8/12,True,n/a,4.7
8/13,True,n/a,3.59
8/15,False,n/a,4.53
8/16,True,n/a,inf
8/17,True,n/a,4.81
8/18,False,n/a,4.46
8/19,True,n/a,4.15
8/20,True,n/a,2.97
8/21,True,n/a,4.0
8/22,False,n/a,4.23
8/23,True,n/a,4.04
8/24,True,n/a,3.49
8/26,False,n/a,2.37
8/27,True,n/a,3.81
8/28,False,n/a,1.64
8/29,True,n/a,2.15
8/30,False,n/a,3.35
8/31,True,n/a,4.53
9/2,False,n/a,2.25
9/3,True,n/a,4.73
9/5,True,n/a,3.21
9/6,True,n/a,4.36
9/7,True,n/a,2.57
9/9,True,n/a,4.5
9/10,True,n/a,5.58
9/11,True,n/a,0.95
9/12,True,n/a,5.04
9/13,True,n/a,3.32
9/16,True,n/a,4.96
9/17,True,n/a,3.69
9/18,True,n/a,4.12
9/19,True,n/a,3.22
9/20,False,n/a,4.36
9/21,True,n/a,4.24
9/23,True,n/a,2.5
9/24,True,n/a,4.33
9/25,True,n/a,3.45
9/26,True,n/a,4.25
9/27,True,n/a,8.27
9/28,True,n/a,4.1
