date,hitVal,otherInfo,opPitcherEra
3/30,True,n/a,inf
4/1,True,n/a,inf
4/2,True,n/a,inf
4/6,False,n/a,0.0
4/22,False,n/a,2.95
4/23,True,n/a,2.08
4/26,True,n/a,6.1
4/27,True,n/a,2.97
4/29,True,n/a,2.73
5/2,False,n/a,5.75
5/4,True,n/a,7.27
5/6,True,n/a,3.32
5/8,True,n/a,6.39
5/9,True,n/a,1.5
5/11,True,n/a,5.13
5/13,False,n/a,1.7
5/15,True,n/a,5.09
5/16,True,n/a,4.6
5/17,True,n/a,6.53
5/18,True,n/a,6.05
5/20,False,n/a,5.51
5/21,True,n/a,3.88
5/22,True,n/a,3.0
5/23,True,n/a,inf
5/25,False,n/a,5.92
5/27,True,n/a,4.11
5/28,True,n/a,3.33
5/29,False,n/a,6.08
5/30,True,n/a,5.83
6/1,True,n/a,5.14
6/3,True,n/a,4.18
6/4,True,n/a,inf
6/5,True,n/a,3.6
6/6,True,n/a,4.54
6/7,True,n/a,1.71
6/8,True,n/a,3.5
6/9,False,n/a,4.48
6/10,False,n/a,5.21
6/11,False,n/a,3.21
6/14,True,n/a,inf
6/15,False,n/a,5.38
6/16,False,n/a,3.89
6/17,False,n/a,3.18
6/18,False,n/a,4.69
6/20,False,n/a,2.64
6/21,True,n/a,5.82
6/22,True,n/a,1.97
6/24,True,n/a,4.3
6/26,False,n/a,2.89
6/27,True,n/a,2.22
6/30,True,n/a,6.05
7/1,False,n/a,inf
7/2,False,n/a,5.44
7/5,False,n/a,4.4
7/6,False,n/a,2.97
7/9,False,n/a,4.62
7/10,True,n/a,7.01
7/11,False,n/a,2.87
7/12,True,n/a,5.56
7/13,False,n/a,4.63
7/17,False,n/a,5.65
7/18,False,n/a,5.65
7/19,True,n/a,3.64
7/20,True,n/a,3.82
7/21,True,n/a,7.37
7/23,True,n/a,inf
7/24,True,n/a,5.26
7/26,True,n/a,1.29
7/27,True,n/a,2.69
7/28,True,n/a,3.34
7/29,True,n/a,4.55
7/30,False,n/a,4.01
7/31,True,n/a,3.8
8/1,True,n/a,3.29
8/2,True,n/a,1.42
8/3,False,n/a,4.35
8/5,True,n/a,4.5
8/6,False,n/a,2.42
8/7,True,n/a,4.86
8/8,True,n/a,4.79
8/9,True,n/a,4.23
8/10,True,n/a,3.55
8/11,True,n/a,3.76
8/12,False,n/a,inf
8/13,True,n/a,4.29
8/14,False,n/a,4.61
8/15,True,n/a,4.82
8/16,True,n/a,4.82
8/17,True,n/a,5.15
8/18,False,n/a,4.22
8/19,False,n/a,4.6
8/20,True,n/a,2.55
8/21,True,n/a,7.21
8/22,True,n/a,5.23
8/24,False,n/a,5.25
8/26,False,n/a,5.04
8/27,True,n/a,4.67
8/28,False,n/a,5.0
8/29,True,n/a,6.41
8/31,True,n/a,4.73
9/1,False,n/a,4.67
9/2,False,n/a,4.86
9/3,False,n/a,1.65
9/5,True,n/a,5.51
9/6,False,n/a,inf
9/7,True,n/a,5.96
9/8,True,n/a,2.57
9/9,True,n/a,inf
9/10,True,n/a,4.62
9/11,True,n/a,4.8
9/12,True,n/a,3.55
9/13,True,n/a,4.97
9/14,True,n/a,3.64
9/15,False,n/a,4.47
9/16,True,n/a,4.83
9/17,False,n/a,3.43
9/19,False,n/a,5.39
9/20,True,n/a,7.67
9/21,True,n/a,4.89
9/22,True,n/a,3.42
9/23,True,n/a,4.66
9/24,True,n/a,4.57
9/26,True,n/a,5.17
9/27,False,n/a,7.38
