date,hitVal,otherInfo,opPitcherEra
4/1,True,n/a,inf
4/2,True,n/a,inf
4/3,True,n/a,inf
4/4,False,n/a,inf
4/5,True,n/a,6.43
4/8,True,n/a,4.05
4/9,True,n/a,11.13
4/10,True,n/a,10.8
4/11,True,n/a,3.0
4/12,True,n/a,0.0
4/13,True,n/a,15.0
4/14,True,n/a,4.22
4/15,False,n/a,2.57
4/16,True,n/a,0.96
4/18,True,n/a,7.41
4/19,True,n/a,5.5
4/20,True,n/a,3.54
4/22,True,n/a,6.43
4/23,True,n/a,2.19
4/24,True,n/a,inf
4/25,False,n/a,2.59
4/26,True,n/a,inf
4/27,True,n/a,1.78
4/29,True,n/a,5.94
4/30,True,n/a,4.91
5/1,True,n/a,5.75
5/2,False,n/a,4.11
5/3,True,n/a,6.75
5/5,True,n/a,2.9
5/6,True,n/a,2.82
5/7,True,n/a,2.59
5/8,True,n/a,2.06
5/9,False,n/a,2.1
5/10,True,n/a,3.53
5/11,True,n/a,3.97
5/12,True,n/a,3.34
5/13,True,n/a,2.54
5/14,True,n/a,4.08
5/16,True,n/a,4.47
5/17,True,n/a,6.46
5/18,True,n/a,3.19
5/20,False,n/a,4.2
5/21,True,n/a,2.21
5/22,True,n/a,3.88
5/23,True,n/a,2.02
5/24,True,n/a,5.11
5/25,True,n/a,2.88
5/26,False,n/a,2.25
5/27,True,n/a,4.35
5/29,True,n/a,2.26
5/30,False,n/a,4.88
5/31,False,n/a,3.02
6/1,True,n/a,2.78
6/3,True,n/a,3.3
6/4,False,n/a,4.97
6/5,True,n/a,4.52
6/6,True,n/a,8.14
6/7,True,n/a,inf
6/8,False,n/a,5.08
6/10,False,n/a,3.09
6/11,True,n/a,5.3
6/12,True,n/a,3.36
6/13,True,n/a,inf
6/14,True,n/a,4.66
6/15,True,n/a,6.6
6/17,True,n/a,4.07
6/18,True,n/a,2.45
7/17,False,n/a,5.0
7/18,True,n/a,6.55
7/20,True,n/a,5.51
7/21,True,n/a,4.69
7/22,True,n/a,4.42
7/23,True,n/a,7.99
7/24,True,n/a,4.0
7/25,False,n/a,3.47
7/26,False,n/a,6.93
7/27,False,n/a,6.0
7/29,True,n/a,3.55
7/30,True,n/a,4.14
7/31,False,n/a,5.64
8/1,True,n/a,3.24
8/3,True,n/a,2.89
8/5,True,n/a,4.94
8/8,True,n/a,3.55
8/9,True,n/a,3.32
8/10,True,n/a,inf
8/11,True,n/a,3.44
8/12,True,n/a,3.26
8/13,True,n/a,5.53
8/14,True,n/a,4.08
8/15,True,n/a,5.25
8/16,True,n/a,inf
8/17,True,n/a,4.92
8/19,True,n/a,3.93
8/20,False,n/a,2.65
8/21,True,n/a,3.62
8/22,True,n/a,9.0
8/23,False,n/a,4.9
8/24,False,n/a,2.41
8/26,True,n/a,4.13
8/27,True,n/a,2.7
8/31,False,n/a,4.35
9/1,True,n/a,2.86
9/2,True,n/a,2.64
9/3,True,n/a,2.26
9/5,False,n/a,4.05
9/6,False,n/a,5.75
9/7,True,n/a,4.25
9/8,True,n/a,5.22
9/9,True,n/a,4.57
9/10,True,n/a,6.75
9/12,True,n/a,3.84
9/13,True,n/a,3.58
9/14,True,n/a,4.83
9/16,True,n/a,6.41
9/17,True,n/a,5.01
9/18,True,n/a,5.22
9/19,True,n/a,3.54
9/20,True,n/a,5.27
9/21,True,n/a,3.58
9/22,False,n/a,3.3
9/23,True,n/a,2.33
9/24,True,n/a,3.84
9/25,False,n/a,2.33
9/26,True,n/a,5.35
9/27,True,n/a,5.46
9/28,False,n/a,8.76
