date,hitVal,otherInfo,opPitcherEra
4/1,False,n/a,inf
4/2,True,n/a,inf
4/3,True,n/a,inf
4/4,False,n/a,inf
4/5,True,n/a,inf
4/6,True,n/a,inf
4/8,False,n/a,7.2
4/9,True,n/a,15.75
4/10,True,n/a,5.41
4/11,True,n/a,inf
4/12,True,n/a,inf
4/13,True,n/a,6.1
4/14,True,n/a,6.55
4/15,True,n/a,3.95
4/16,True,n/a,4.74
4/17,True,n/a,2.53
4/18,False,n/a,5.4
4/20,True,n/a,3.92
4/22,True,n/a,3.81
4/23,True,n/a,2.08
4/24,True,n/a,3.25
4/25,True,n/a,4.55
4/26,False,n/a,4.91
4/27,True,n/a,4.56
4/29,True,n/a,2.12
4/30,False,n/a,4.91
5/1,True,n/a,1.7
5/2,True,n/a,1.25
5/4,True,n/a,3.86
5/6,True,n/a,3.96
5/7,False,n/a,1.6
5/8,True,n/a,2.74
5/9,True,n/a,inf
5/10,True,n/a,4.37
5/11,True,n/a,3.54
5/13,True,n/a,4.54
5/14,True,n/a,7.2
5/15,True,n/a,3.0
5/16,True,n/a,5.59
5/17,True,n/a,2.66
5/18,True,n/a,5.27
5/20,True,n/a,4.21
5/21,True,n/a,4.87
5/22,True,n/a,4.33
5/23,False,n/a,5.6
5/24,True,n/a,3.22
5/25,True,n/a,4.53
5/27,True,n/a,5.11
5/28,False,n/a,4.25
5/29,True,n/a,5.43
5/30,True,n/a,3.06
5/31,True,n/a,4.1
6/3,False,n/a,2.94
6/4,True,n/a,4.22
6/5,True,n/a,5.81
6/6,True,n/a,inf
6/8,True,n/a,4.36
6/10,True,n/a,3.51
6/11,True,n/a,3.68
6/12,True,n/a,3.38
6/13,True,n/a,4.02
6/14,True,n/a,4.05
6/15,True,n/a,4.58
6/16,True,n/a,5.76
6/17,True,n/a,4.65
6/18,True,n/a,7.22
6/19,True,n/a,5.1
6/20,True,n/a,6.03
6/21,True,n/a,4.41
6/22,True,n/a,4.45
6/24,True,n/a,6.52
6/25,False,n/a,4.67
6/26,True,n/a,3.87
6/27,True,n/a,4.47
6/28,False,n/a,4.16
6/29,True,n/a,6.19
6/30,False,n/a,4.99
7/1,True,n/a,3.09
7/2,True,n/a,4.83
7/3,True,n/a,3.17
7/4,True,n/a,5.86
7/5,True,n/a,5.91
7/6,True,n/a,inf
7/8,True,n/a,3.89
7/9,True,n/a,5.81
7/10,True,n/a,3.85
7/11,True,n/a,inf
7/12,False,n/a,3.69
7/13,True,n/a,5.75
7/17,True,n/a,2.52
7/18,True,n/a,4.77
7/19,False,n/a,3.54
7/21,True,n/a,4.78
7/22,False,n/a,4.85
7/23,True,n/a,3.23
7/24,True,n/a,3.21
7/25,True,n/a,inf
7/26,True,n/a,8.66
7/27,True,n/a,5.58
7/28,True,n/a,5.65
7/29,True,n/a,3.9
7/30,True,n/a,4.4
7/31,False,n/a,4.28
8/1,False,n/a,4.09
8/2,True,n/a,5.93
8/3,True,n/a,4.21
8/5,True,n/a,3.63
8/6,False,n/a,4.25
8/7,True,n/a,4.71
8/8,True,n/a,5.22
8/9,True,n/a,4.24
8/10,True,n/a,3.64
8/11,True,n/a,5.31
8/12,True,n/a,3.4
8/13,True,n/a,4.16
8/14,False,n/a,3.85
8/15,True,n/a,7.79
8/16,True,n/a,2.37
8/17,False,n/a,4.92
8/19,True,n/a,3.78
8/20,True,n/a,6.9
8/21,True,n/a,5.28
8/22,True,n/a,7.66
8/24,True,n/a,4.83
8/25,False,n/a,2.32
8/26,True,n/a,4.27
8/27,False,n/a,3.6
8/28,False,n/a,4.72
8/29,True,n/a,4.73
8/30,False,n/a,3.56
8/31,False,n/a,3.72
9/2,True,n/a,4.35
9/3,False,n/a,0.0
9/5,True,n/a,3.69
9/6,True,n/a,4.24
9/7,False,n/a,4.22
9/9,True,n/a,6.38
9/10,True,n/a,4.99
9/11,True,n/a,7.11
9/12,True,n/a,4.84
9/13,False,n/a,5.7
9/14,False,n/a,2.94
9/15,True,n/a,7.77
9/16,True,n/a,4.96
9/17,True,n/a,7.65
9/18,False,n/a,5.76
9/19,True,n/a,2.66
9/20,True,n/a,2.61
9/21,True,n/a,4.33
9/22,True,n/a,4.36
9/23,False,n/a,3.11
9/24,True,n/a,4.85
9/26,True,n/a,7.73
9/27,True,n/a,3.22
