date,hitVal,otherInfo,opPitcherEra
3/31,True,n/a,inf
4/2,True,n/a,inf
4/3,True,n/a,inf
4/4,False,n/a,inf
4/5,False,n/a,2.57
4/9,False,n/a,13.5
4/10,True,n/a,4.77
4/11,False,n/a,0.0
4/14,True,n/a,1.29
4/15,True,n/a,1.23
4/16,True,n/a,9.0
4/17,True,n/a,1.23
4/18,False,n/a,6.14
4/19,True,n/a,2.19
4/20,False,n/a,4.95
4/22,False,n/a,3.5
4/24,True,n/a,7.84
4/25,False,n/a,4.96
4/26,True,n/a,6.23
4/27,True,n/a,3.23
4/29,True,n/a,4.62
4/30,False,n/a,6.04
5/1,True,n/a,3.94
5/2,True,n/a,5.77
5/3,True,n/a,4.8
5/4,True,n/a,inf
5/5,True,n/a,5.29
5/6,False,n/a,4.45
5/7,True,n/a,5.66
5/12,True,n/a,6.18
5/13,True,n/a,3.57
5/14,True,n/a,5.87
5/15,True,n/a,4.36
5/16,True,n/a,6.07
5/17,True,n/a,4.78
5/18,True,n/a,7.79
5/20,True,n/a,3.58
5/21,False,n/a,5.47
5/22,False,n/a,3.06
5/23,True,n/a,2.65
5/24,True,n/a,4.08
5/25,True,n/a,2.69
5/27,True,n/a,5.9
5/28,True,n/a,3.66
5/29,True,n/a,2.45
5/30,True,n/a,2.68
5/31,True,n/a,4.1
6/1,True,n/a,2.72
6/3,False,n/a,4.34
6/4,True,n/a,2.9
6/5,True,n/a,2.02
6/7,True,n/a,3.17
6/8,True,n/a,4.76
6/10,True,n/a,5.25
6/11,True,n/a,4.75
6/13,True,n/a,2.44
6/14,True,n/a,4.42
6/15,True,n/a,5.75
6/16,True,n/a,2.91
6/17,True,n/a,4.67
6/18,False,n/a,4.37
8/8,True,n/a,inf
8/9,True,n/a,4.14
8/10,True,n/a,4.54
8/11,True,n/a,3.69
8/12,False,n/a,3.35
8/13,True,n/a,5.36
8/15,True,n/a,4.97
8/16,True,n/a,4.97
8/17,True,n/a,4.86
8/18,True,n/a,5.69
8/19,True,n/a,4.23
8/20,True,n/a,3.57
8/21,True,n/a,4.7
8/22,False,n/a,5.03
8/23,False,n/a,6.12
8/24,True,n/a,2.92
8/26,True,n/a,4.35
8/27,True,n/a,7.6
8/28,True,n/a,inf
8/29,True,n/a,4.48
8/31,False,n/a,2.67
9/1,True,n/a,8.14
9/2,True,n/a,inf
9/3,True,n/a,5.03
9/4,True,n/a,4.84
9/5,True,n/a,4.37
9/6,False,n/a,2.79
9/7,False,n/a,4.93
9/9,True,n/a,4.6
9/10,True,n/a,3.0
9/11,True,n/a,4.55
9/12,False,n/a,5.75
9/13,False,n/a,5.84
9/14,False,n/a,4.15
9/15,True,n/a,5.4
9/16,False,n/a,4.83
9/18,True,n/a,3.63
9/19,True,n/a,4.13
9/20,True,n/a,2.87
9/21,True,n/a,4.38
9/22,True,n/a,5.65
9/26,False,n/a,4.66
9/27,True,n/a,3.9
