date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/11,False,n/a,5.69
4/12,True,n/a,6.0
4/13,True,n/a,13.5
4/14,True,n/a,7.5
4/15,True,n/a,2.89
4/16,True,n/a,8.44
4/17,True,n/a,7.15
4/20,False,n/a,6.55
4/21,True,n/a,4.5
4/22,True,n/a,4.91
4/23,True,n/a,8.05
4/24,True,n/a,4.71
4/25,False,n/a,2.84
4/28,True,n/a,17.0
4/29,True,n/a,3.0
4/30,True,n/a,4.26
5/1,True,n/a,3.52
5/2,True,n/a,4.97
5/3,True,n/a,4.5
5/4,True,n/a,10.69
5/5,True,n/a,2.97
5/6,True,n/a,3.23
5/7,True,n/a,4.01
5/8,True,n/a,2.43
5/11,True,n/a,2.18
5/12,False,n/a,3.74
5/13,False,n/a,3.38
5/14,True,n/a,3.48
5/15,True,n/a,27.0
5/16,True,n/a,inf
5/18,True,n/a,3.35
5/19,True,n/a,3.26
5/20,False,n/a,3.96
5/22,True,n/a,4.57
5/23,True,n/a,5.24
5/24,True,n/a,4.72
5/25,True,n/a,2.08
5/26,True,n/a,4.37
5/28,True,n/a,3.93
5/29,True,n/a,5.27
5/30,False,n/a,3.84
5/31,True,n/a,4.74
6/1,True,n/a,3.42
6/2,True,n/a,3.05
6/4,True,n/a,3.84
6/5,True,n/a,4.22
6/6,False,n/a,3.54
6/7,True,n/a,9.0
6/8,False,n/a,5.79
6/9,True,n/a,3.18
6/11,True,n/a,3.55
6/12,True,n/a,3.18
6/13,False,n/a,2.41
6/14,True,n/a,4.66
6/15,True,n/a,2.27
6/16,True,n/a,4.1
6/17,True,n/a,3.95
6/18,True,n/a,3.27
6/19,True,n/a,5.32
6/21,True,n/a,6.57
6/22,True,n/a,5.0
6/23,False,n/a,7.62
6/24,False,n/a,4.36
6/25,False,n/a,3.54
6/26,True,n/a,3.09
6/27,True,n/a,3.63
6/29,False,n/a,4.16
6/30,True,n/a,2.98
7/1,True,n/a,3.28
7/2,True,n/a,3.39
7/3,True,n/a,2.46
7/4,True,n/a,6.34
7/5,True,n/a,4.0
7/6,False,n/a,5.06
7/7,True,n/a,1.98
7/8,True,n/a,4.05
7/9,False,n/a,4.26
7/10,False,n/a,3.77
7/11,True,n/a,4.42
7/16,True,n/a,2.43
7/17,True,n/a,3.09
7/18,True,n/a,3.89
7/19,False,n/a,3.51
7/20,True,n/a,4.25
7/21,True,n/a,3.89
7/22,True,n/a,13.5
7/23,True,n/a,3.47
7/24,True,n/a,11.25
7/25,True,n/a,3.76
7/26,False,n/a,3.82
7/27,False,n/a,12.47
7/28,True,n/a,6.18
7/29,True,n/a,14.73
7/30,False,Suspended-Valid.,inf
8/1,False,n/a,3.84
8/3,True,n/a,3.19
8/4,False,n/a,4.56
8/5,True,n/a,4.71
8/6,False,n/a,6.96
8/7,True,n/a,inf
8/8,False,n/a,5.64
8/10,True,n/a,3.69
8/11,True,n/a,4.79
8/13,False,n/a,4.5
8/14,False,n/a,4.35
8/17,True,n/a,4.1
8/18,True,n/a,3.6
8/19,True,n/a,5.34
8/20,False,n/a,4.04
8/21,False,n/a,4.98
8/23,True,n/a,9.72
8/24,True,n/a,5.5
8/25,False,n/a,4.71
8/26,True,n/a,4.74
8/27,True,n/a,2.97
8/28,True,n/a,2.88
8/30,True,n/a,3.64
8/31,True,n/a,4.14
9/1,True,n/a,4.54
9/3,True,n/a,2.85
9/4,True,n/a,4.71
9/5,True,n/a,4.5
9/6,True,n/a,4.25
9/7,True,n/a,4.63
9/8,True,n/a,5.94
9/9,True,n/a,3.13
9/10,True,n/a,6.64
9/11,True,n/a,6.81
9/12,True,n/a,5.41
9/14,True,n/a,3.97
9/15,False,n/a,4.69
9/16,True,n/a,3.58
9/17,False,n/a,2.83
9/18,True,n/a,4.7
9/19,True,n/a,3.6
9/21,False,n/a,4.26
9/22,False,n/a,4.09
9/23,False,n/a,3.24
9/24,False,n/a,3.52
9/25,False,n/a,6.36
9/27,True,n/a,3.86
9/28,False,n/a,4.77
9/29,True,n/a,4.03
10/1,True,n/a,3.62
10/2,True,n/a,5.73
10/3,False,n/a,3.98
