date,hitVal,otherInfo,opPitcherEra
4/4,True,n/a,inf
4/6,False,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,16.22
4/10,True,n/a,0.0
4/11,True,n/a,3.0
4/12,True,n/a,0.0
4/13,False,n/a,5.07
4/15,False,n/a,2.25
4/16,True,n/a,6.52
4/17,True,n/a,7.2
4/18,False,n/a,8.18
4/19,False,n/a,inf
4/20,False,n/a,6.35
4/21,False,n/a,4.86
4/23,False,n/a,5.63
4/25,True,n/a,3.41
4/27,True,n/a,3.55
4/29,False,n/a,5.71
4/30,False,n/a,5.09
5/1,True,n/a,inf
5/2,False,n/a,3.45
5/3,True,n/a,inf
5/4,False,n/a,1.03
5/5,True,n/a,3.38
5/6,True,n/a,5.11
5/7,True,n/a,5.08
5/8,True,n/a,3.09
5/9,False,n/a,4.89
5/10,True,n/a,2.77
5/11,True,n/a,5.56
5/14,True,n/a,3.05
5/15,False,n/a,5.51
5/17,False,n/a,2.77
5/18,True,n/a,2.88
5/20,True,n/a,6.32
5/21,True,n/a,6.19
5/22,False,n/a,7.52
5/23,False,n/a,4.07
5/24,True,n/a,3.57
5/25,False,n/a,3.71
5/26,True,n/a,4.8
5/28,True,n/a,6.32
5/29,True,n/a,4.33
5/30,True,n/a,6.91
5/31,True,n/a,3.19
6/1,True,n/a,1.97
6/2,True,n/a,1.67
6/3,True,n/a,3.0
6/4,False,n/a,1.15
6/5,True,n/a,inf
6/6,True,n/a,5.11
6/7,True,n/a,3.6
6/8,True,n/a,3.53
6/10,False,n/a,6.61
6/11,True,n/a,3.86
6/12,False,n/a,6.05
6/14,False,n/a,4.33
6/15,True,n/a,5.43
6/16,True,n/a,3.76
6/17,False,n/a,5.04
6/18,False,n/a,4.8
6/19,True,n/a,3.76
6/20,True,n/a,3.43
6/21,True,n/a,0.0
6/22,False,n/a,2.89
6/23,True,n/a,3.16
6/24,True,n/a,4.45
6/25,False,n/a,3.01
6/26,True,n/a,4.1
6/28,False,n/a,4.09
6/29,False,n/a,3.14
6/30,True,n/a,3.63
7/1,False,n/a,3.08
7/2,False,n/a,3.27
7/3,True,n/a,4.32
7/4,False,n/a,4.1
7/5,True,n/a,5.18
7/6,True,n/a,6.96
7/7,False,n/a,3.18
7/8,True,n/a,3.8
7/9,True,n/a,5.51
7/10,False,n/a,2.8
7/14,False,n/a,3.41
7/15,False,n/a,4.8
7/16,True,n/a,4.67
7/17,False,n/a,3.85
7/18,True,n/a,5.06
7/19,False,n/a,9.47
7/20,True,n/a,2.98
7/21,True,n/a,5.25
7/22,False,n/a,5.43
7/23,False,n/a,5.25
7/24,True,n/a,4.11
7/26,True,n/a,3.38
7/27,True,n/a,4.5
7/28,False,n/a,3.23
7/29,True,n/a,4.57
7/30,False,n/a,4.32
7/31,True,n/a,2.62
8/1,False,n/a,3.44
8/2,True,n/a,3.28
8/3,False,n/a,inf
8/4,True,n/a,4.5
8/5,True,n/a,3.99
8/6,True,n/a,4.47
8/7,True,n/a,4.52
8/9,True,n/a,4.29
8/10,True,n/a,6.97
8/11,True,n/a,5.37
8/12,True,n/a,2.46
8/13,True,n/a,1.38
8/14,True,n/a,6.75
8/16,False,n/a,3.54
8/17,False,n/a,4.41
8/18,False,n/a,4.16
8/19,True,n/a,2.71
8/20,False,n/a,3.62
8/21,True,n/a,inf
8/22,True,n/a,3.87
8/23,True,n/a,4.36
8/24,False,n/a,2.29
8/25,True,n/a,3.8
8/26,True,n/a,3.78
8/27,True,n/a,6.48
8/28,False,n/a,6.82
8/30,True,n/a,4.03
8/31,True,n/a,4.02
9/2,True,n/a,4.43
9/3,True,n/a,3.05
9/4,False,n/a,4.87
9/6,True,n/a,4.8
9/7,True,n/a,3.88
9/8,True,n/a,inf
9/9,True,n/a,6.72
9/10,True,n/a,5.54
9/11,True,n/a,4.23
9/14,False,n/a,4.11
9/16,True,n/a,4.11
9/17,True,n/a,3.54
9/18,True,n/a,6.56
9/19,True,n/a,1.77
9/20,False,n/a,2.43
9/21,True,n/a,2.87
9/22,False,n/a,4.76
9/23,False,n/a,5.36
9/24,True,n/a,4.73
9/25,True,n/a,3.65
9/26,True,n/a,8.84
9/27,False,n/a,4.14
9/30,True,n/a,3.85
10/1,False,n/a,4.04
10/2,True,n/a,3.96
