date,hitVal,otherInfo,opPitcherEra
4/3,True,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,5.4
4/11,True,n/a,12.47
4/12,True,n/a,13.5
4/13,True,n/a,1.5
4/14,False,n/a,6.24
4/15,True,n/a,5.73
4/16,True,n/a,5.54
4/18,True,n/a,4.63
4/19,False,n/a,3.86
4/21,True,n/a,3.32
4/22,True,n/a,5.4
4/23,True,n/a,8.1
4/25,True,n/a,4.07
4/26,True,n/a,10.91
4/27,True,n/a,0.0
4/28,True,n/a,3.6
4/29,False,n/a,8.35
4/30,True,n/a,5.11
5/1,True,n/a,3.9
5/3,False,n/a,6.11
5/4,False,n/a,5.95
5/5,True,n/a,4.04
5/6,True,n/a,4.15
5/7,False,n/a,3.6
5/9,True,n/a,4.87
5/10,True,n/a,3.02
5/11,True,n/a,3.97
5/12,False,n/a,4.07
5/13,True,n/a,2.29
5/14,True,n/a,5.03
5/15,True,n/a,5.13
5/16,True,n/a,3.66
5/17,True,n/a,4.23
5/18,False,n/a,4.57
5/19,True,n/a,5.4
5/20,True,n/a,3.19
5/21,True,n/a,2.43
5/22,True,n/a,4.17
5/23,True,n/a,4.17
5/24,True,n/a,5.36
5/26,True,n/a,4.71
5/27,True,n/a,6.51
5/28,True,n/a,6.19
5/29,False,n/a,4.57
5/30,False,n/a,3.6
6/2,True,n/a,4.8
6/3,True,n/a,9.66
6/4,False,n/a,6.88
6/9,False,n/a,3.75
6/10,False,n/a,5.05
6/11,True,n/a,3.28
6/13,True,n/a,5.15
6/14,True,n/a,5.7
6/15,False,n/a,5.12
6/16,True,n/a,1.8
6/17,True,n/a,4.88
6/18,True,n/a,3.7
6/19,True,n/a,3.86
6/20,True,n/a,4.89
6/21,True,n/a,4.91
6/23,False,n/a,6.29
6/25,True,n/a,4.19
6/26,True,n/a,4.05
6/27,True,n/a,4.32
6/28,True,n/a,3.89
6/30,True,n/a,5.4
7/1,True,n/a,4.82
7/2,True,n/a,4.68
7/3,True,n/a,7.2
7/4,True,n/a,4.37
7/5,True,n/a,4.11
7/6,True,n/a,4.69
7/7,False,n/a,inf
7/8,True,n/a,3.29
7/9,True,n/a,4.84
7/14,True,n/a,3.38
7/15,True,n/a,4.02
7/16,True,n/a,4.91
7/17,True,n/a,4.58
7/18,True,n/a,5.95
7/19,True,n/a,3.87
7/20,False,n/a,3.06
7/21,True,n/a,4.04
7/22,True,n/a,3.86
7/23,True,n/a,4.91
7/24,True,n/a,4.61
7/25,True,n/a,inf
7/26,True,n/a,5.13
7/28,True,n/a,3.09
7/29,True,n/a,inf
7/30,True,n/a,5.46
8/1,True,n/a,4.53
8/2,True,n/a,4.02
8/3,True,n/a,4.81
8/4,True,n/a,7.07
8/5,False,n/a,6.44
8/6,True,n/a,6.2
8/8,True,n/a,4.88
8/9,True,n/a,4.99
8/10,True,n/a,5.19
8/11,True,n/a,1.29
8/12,False,n/a,3.73
8/13,True,n/a,4.56
8/14,True,n/a,3.33
8/15,True,n/a,3.91
8/16,False,n/a,6.41
8/17,False,n/a,6.2
8/18,True,n/a,6.47
8/19,False,n/a,5.02
8/20,True,n/a,3.84
8/21,True,n/a,6.06
8/22,True,n/a,inf
8/23,True,n/a,4.5
8/24,True,n/a,4.43
8/25,True,n/a,3.52
8/26,True,n/a,4.28
8/27,True,n/a,3.06
8/30,True,n/a,4.1
8/31,True,n/a,3.92
9/1,True,n/a,6.5
9/2,True,n/a,6.93
9/3,True,n/a,5.07
9/4,True,n/a,5.61
9/5,True,n/a,inf
9/6,True,n/a,6.24
9/8,True,n/a,3.94
9/9,True,n/a,5.55
9/10,True,n/a,109.09
9/11,True,n/a,5.96
9/12,False,n/a,3.96
9/13,True,n/a,5.61
9/14,True,n/a,4.71
9/16,True,n/a,5.09
9/17,False,n/a,5.4
9/18,True,n/a,3.9
9/19,True,n/a,5.43
9/22,True,n/a,4.82
9/23,True,n/a,6.53
9/24,True,n/a,6.95
9/25,True,n/a,inf
9/26,True,n/a,15.45
9/27,True,n/a,4.49
9/29,True,n/a,4.9
9/30,True,n/a,4.92
10/1,True,n/a,7.67
