date,hitVal,otherInfo
3/30,False,n/a
3/31,True,n/a
4/2,False,n/a
4/3,True,n/a
4/4,True,n/a
4/5,True,n/a
4/7,True,n/a
4/9,False,n/a
4/10,True,n/a
4/11,False,n/a
4/13,False,n/a
4/15,True,n/a
4/16,True,n/a
4/17,False,n/a
4/20,True,n/a
5/8,False,n/a
5/11,True,n/a
6/10,True,n/a
6/11,True,n/a
6/12,False,n/a
6/13,True,n/a
6/14,True,n/a
6/15,True,n/a
6/17,False,n/a
6/19,True,n/a
6/21,False,n/a
6/22,True,n/a
6/23,False,n/a
6/24,False,n/a
6/25,False,n/a
6/28,False,n/a
6/29,True,n/a
6/30,True,n/a
7/1,True,n/a
7/2,True,n/a
7/3,False,n/a
7/4,True,n/a
7/6,True,n/a
7/8,True,n/a
7/9,False,n/a
7/11,True,n/a
7/12,True,n/a
7/13,True,n/a
7/18,True,n/a
7/19,True,n/a
7/20,True,n/a
7/22,False,n/a
7/26,True,n/a
7/27,False,n/a
7/29,False,n/a
7/30,True,n/a
7/31,False,n/a
8/5,True,n/a
8/7,True,n/a
8/8,False,n/a
8/9,True,n/a
8/10,True,n/a
8/11,False,n/a
8/12,False,n/a
8/13,False,n/a
8/14,True,n/a
8/15,True,n/a
8/16,True,n/a
8/17,True,n/a
8/19,True,n/a
8/20,True,n/a
8/21,False,n/a
8/22,True,n/a
8/23,True,n/a
8/24,True,n/a
8/26,False,n/a
8/27,True,n/a
8/28,True,n/a
8/29,True,n/a
8/30,True,n/a
9/1,True,n/a
9/2,True,n/a
9/3,True,n/a
9/4,True,n/a
