date,hitVal,otherInfo
3/31,True,n/a
4/2,False,n/a
4/3,False,n/a
4/4,True,n/a
4/5,True,n/a
4/6,True,n/a
4/7,True,n/a
4/8,True,n/a
4/9,True,n/a
4/11,True,n/a
4/12,True,n/a
4/13,True,n/a
4/14,True,n/a
4/15,True,n/a
4/16,True,n/a
4/18,True,n/a
4/19,True,n/a
4/20,False,n/a
4/21,True,n/a
4/22,True,n/a
4/23,True,n/a
4/26,True,n/a
4/27,False,n/a
4/28,False,n/a
4/30,True,n/a
5/2,False,n/a
5/3,True,n/a
5/4,False,n/a
5/5,True,n/a
5/6,True,n/a
5/7,True,n/a
5/8,False,n/a
5/9,False,n/a
5/11,True,n/a
5/13,False,n/a
5/14,False,n/a
5/16,True,n/a
5/18,False,n/a
5/20,True,n/a
5/21,False,n/a
5/23,True,n/a
5/24,False,n/a
5/25,True,n/a
5/26,True,n/a
6/23,False,n/a
6/24,True,n/a
6/25,False,n/a
6/27,True,n/a
6/28,False,n/a
6/30,True,n/a
