date,hitVal,otherInfo
3/31,True,n/a
4/1,True,n/a
4/2,True,n/a
4/5,False,n/a
4/6,False,n/a
4/8,False,n/a
4/12,False,n/a
4/13,True,n/a
4/15,False,n/a
4/16,True,n/a
4/17,True,n/a
4/18,False,n/a
4/19,True,n/a
4/20,True,n/a
4/21,True,n/a
4/23,True,n/a
4/24,True,n/a
4/25,False,n/a
4/27,True,n/a
4/29,False,n/a
4/30,False,n/a
5/2,False,n/a
5/4,False,n/a
5/5,False,n/a
5/6,True,n/a
5/7,True,n/a
5/10,False,n/a
5/11,True,n/a
5/15,True,n/a
5/17,True,n/a
5/18,True,n/a
5/20,True,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/24,True,n/a
5/25,False,n/a
5/26,True,n/a
5/27,False,n/a
5/28,True,n/a
5/29,True,n/a
5/30,True,n/a
6/1,False,n/a
6/2,True,n/a
6/4,True,n/a
6/5,False,n/a
6/6,True,n/a
6/7,True,n/a
6/8,True,n/a
6/10,True,n/a
6/11,False,n/a
6/13,False,n/a
6/15,True,n/a
6/16,True,n/a
6/17,True,n/a
6/21,False,n/a
6/23,False,n/a
6/24,False,n/a
6/25,True,n/a
6/27,True,n/a
6/29,True,n/a
6/30,True,n/a
8/25,False,n/a
8/27,True,n/a
8/29,True,n/a
8/30,True,n/a
9/3,False,n/a
9/5,False,n/a
9/13,False,n/a
9/14,True,n/a
9/15,True,n/a
9/19,True,n/a
9/20,True,n/a
9/21,False,n/a
9/22,False,n/a
9/23,False,n/a
