date,hitVal,otherInfo
3/26,True,n/a
4/1,True,n/a
4/2,True,n/a
4/5,False,n/a
4/8,True,n/a
4/10,True,n/a
4/11,True,n/a
4/13,True,n/a
4/14,True,n/a
4/15,True,n/a
4/24,True,n/a
4/26,True,n/a
4/27,False,n/a
4/29,False,n/a
4/30,True,n/a
5/1,True,n/a
5/4,True,n/a
5/6,False,n/a
5/8,True,n/a
5/10,True,n/a
5/11,True,n/a
5/12,True,n/a
5/13,True,n/a
5/17,True,n/a
5/18,False,n/a
5/20,True,n/a
5/21,True,n/a
5/24,False,n/a
5/27,False,n/a
5/28,False,n/a
5/30,False,n/a
5/31,False,n/a
6/2,True,n/a
6/3,True,n/a
6/4,True,n/a
6/5,False,n/a
6/6,False,n/a
6/7,True,n/a
6/8,True,n/a
6/10,True,n/a
6/11,False,n/a
6/12,True,n/a
6/14,True,n/a
6/15,True,n/a
6/17,True,n/a
6/18,False,n/a
6/20,True,n/a
6/22,True,n/a
6/23,False,n/a
6/24,True,n/a
6/25,True,n/a
6/27,True,n/a
7/3,True,n/a
7/4,False,n/a
7/5,False,n/a
7/6,False,n/a
7/7,False,n/a
7/19,False,n/a
7/20,False,n/a
7/21,True,n/a
7/22,False,n/a
7/23,True,n/a
7/25,True,n/a
7/26,False,n/a
7/30,True,n/a
8/2,True,n/a
8/3,False,n/a
8/4,True,n/a
8/8,True,n/a
8/11,False,n/a
8/12,True,n/a
8/13,True,n/a
8/14,True,n/a
8/18,True,n/a
8/19,True,n/a
8/20,True,n/a
8/22,True,n/a
8/23,False,n/a
8/24,True,n/a
8/26,True,n/a
8/27,True,n/a
9/1,True,n/a
9/2,True,n/a
9/3,True,n/a
9/5,True,n/a
9/6,True,n/a
9/7,True,n/a
9/8,True,n/a
9/9,True,n/a
9/12,True,n/a
9/13,False,n/a
9/14,True,n/a
9/15,True,n/a
9/16,False,n/a
9/17,False,n/a
9/20,True,n/a
9/23,True,n/a
9/28,True,n/a
