date,hitVal,otherInfo
3/31,True,n/a
4/1,True,n/a
4/2,True,n/a
4/3,False,n/a
4/4,True,n/a
4/25,True,n/a
4/26,True,n/a
4/27,True,n/a
4/29,True,n/a
4/30,True,n/a
5/2,True,n/a
5/3,True,n/a
5/4,False,n/a
5/6,False,n/a
5/7,True,n/a
5/8,True,n/a
5/9,True,n/a
5/10,False,n/a
5/11,True,n/a
5/12,True,n/a
5/13,True,n/a
5/14,True,n/a
5/15,False,n/a
5/16,False,n/a
5/17,False,n/a
5/18,True,n/a
5/19,False,n/a
5/20,True,n/a
5/21,False,n/a
5/22,True,n/a
5/23,True,n/a
5/24,False,n/a
5/25,True,n/a
5/27,True,n/a
5/28,False,n/a
5/29,True,n/a
5/30,True,n/a
5/31,True,n/a
6/1,True,n/a
6/2,True,n/a
6/3,False,n/a
6/4,True,n/a
6/5,True,n/a
6/6,True,n/a
6/7,False,n/a
6/8,True,n/a
6/9,True,n/a
6/10,False,n/a
6/11,True,n/a
6/12,False,n/a
6/13,False,n/a
6/15,False,n/a
6/17,True,n/a
6/18,False,n/a
6/19,True,n/a
6/21,True,n/a
6/22,True,n/a
6/24,True,n/a
6/25,False,n/a
6/26,False,n/a
6/27,True,n/a
9/15,False,n/a
9/16,True,n/a
9/20,False,n/a
