date,hitVal,otherInfo
3/31,False,n/a
4/1,True,n/a
4/5,True,n/a
4/6,False,n/a
4/8,True,n/a
4/10,True,n/a
4/11,True,n/a
4/14,False,n/a
4/19,True,n/a
4/20,True,n/a
4/22,True,n/a
4/24,True,n/a
4/25,True,n/a
4/28,True,n/a
4/29,True,n/a
5/2,True,n/a
5/13,True,n/a
5/14,True,n/a
5/16,True,n/a
5/17,False,n/a
5/18,True,n/a
5/19,False,n/a
5/20,True,n/a
5/23,False,n/a
5/25,False,n/a
5/27,True,n/a
5/28,True,n/a
5/29,True,n/a
5/30,False,n/a
6/1,True,n/a
6/2,True,n/a
6/3,False,n/a
6/6,True,n/a
6/7,False,n/a
6/8,True,n/a
6/9,True,n/a
6/11,True,n/a
6/12,True,n/a
6/13,True,n/a
6/14,False,n/a
6/15,False,n/a
6/16,False,n/a
6/17,True,n/a
6/20,True,n/a
6/21,True,n/a
6/22,True,n/a
6/24,False,n/a
6/25,True,n/a
6/27,False,n/a
6/28,True,n/a
6/29,True,n/a
7/1,True,n/a
7/2,True,n/a
7/3,False,n/a
7/4,True,n/a
7/5,False,n/a
7/6,True,n/a
7/8,False,n/a
7/9,False,n/a
7/11,True,n/a
7/12,True,n/a
7/13,True,n/a
7/24,False,n/a
7/26,True,n/a
7/29,True,n/a
7/30,True,n/a
8/3,False,n/a
8/5,True,n/a
8/9,True,n/a
8/14,False,n/a
8/16,False,n/a
8/18,True,n/a
8/19,True,n/a
8/26,True,n/a
9/5,True,n/a
9/8,True,n/a
9/10,True,n/a
9/14,True,n/a
9/16,True,n/a
9/17,True,n/a
9/18,True,n/a
9/19,True,n/a
9/23,False,n/a
9/26,True,n/a
9/28,True,n/a
