date,hitVal,otherInfo
3/31,True,n/a
4/1,True,n/a
4/2,True,n/a
4/3,True,n/a
4/4,False,n/a
4/5,True,n/a
4/6,True,n/a
4/7,True,n/a
4/8,True,n/a
4/9,True,n/a
4/11,True,n/a
4/12,False,n/a
4/13,True,n/a
4/15,False,n/a
4/16,False,n/a
4/17,False,n/a
4/19,False,n/a
4/20,False,n/a
4/21,True,n/a
4/22,False,n/a
4/23,True,n/a
4/24,True,n/a
4/26,True,n/a
4/27,True,n/a
4/29,False,n/a
4/30,True,n/a
5/1,True,n/a
5/2,False,n/a
5/3,True,n/a
5/4,False,n/a
5/6,True,n/a
5/7,True,n/a
5/9,True,n/a
5/10,True,n/a
5/11,True,n/a
5/12,True,n/a
5/13,False,n/a
5/14,True,n/a
5/15,False,n/a
5/16,True,n/a
5/17,True,n/a
5/19,True,n/a
5/20,False,n/a
5/21,False,n/a
5/22,True,n/a
5/23,True,n/a
5/24,True,n/a
5/25,True,n/a
5/27,True,n/a
5/28,True,n/a
5/29,True,n/a
5/30,True,n/a
6/1,True,n/a
6/2,False,n/a
6/3,False,n/a
6/5,True,n/a
8/2,False,n/a
8/5,False,n/a
8/7,False,n/a
8/8,True,n/a
8/9,False,n/a
8/12,False,n/a
8/14,True,n/a
8/15,True,n/a
8/16,True,n/a
8/19,True,n/a
8/20,True,n/a
8/21,False,n/a
8/22,False,n/a
8/25,True,n/a
8/26,True,n/a
8/29,False,n/a
9/28,True,n/a
