date,hitVal,otherInfo
3/31,True,n/a
4/2,False,n/a
4/3,True,n/a
4/4,True,n/a
4/5,True,n/a
4/6,False,n/a
4/8,False,n/a
4/9,True,n/a
4/10,True,n/a
4/11,True,n/a
4/12,True,n/a
4/13,False,n/a
4/16,True,n/a
4/17,True,n/a
4/18,False,n/a
4/20,False,n/a
4/21,False,n/a
4/22,False,n/a
4/23,True,n/a
4/24,True,n/a
4/25,True,n/a
4/26,True,n/a
4/30,False,n/a
5/1,False,n/a
5/3,False,n/a
5/6,False,n/a
5/8,True,n/a
5/15,True,n/a
5/18,False,n/a
5/21,True,n/a
5/22,True,n/a
5/25,False,n/a
5/27,True,n/a
5/28,False,n/a
5/30,True,n/a
6/1,True,n/a
6/6,True,n/a
6/7,True,n/a
6/9,False,n/a
6/11,True,n/a
6/13,False,n/a
6/15,True,n/a
6/21,False,n/a
7/12,True,n/a
7/13,False,n/a
7/17,True,n/a
7/18,True,n/a
7/19,False,n/a
7/20,True,n/a
7/23,True,n/a
7/26,True,n/a
7/29,True,n/a
7/30,True,n/a
8/1,True,n/a
8/2,False,n/a
8/3,False,n/a
8/5,False,n/a
8/7,True,n/a
8/8,False,n/a
8/9,True,n/a
8/10,False,n/a
8/11,True,n/a
8/12,True,n/a
8/13,False,n/a
8/14,True,n/a
8/15,False,n/a
8/16,False,n/a
8/17,True,n/a
8/18,True,n/a
8/19,True,n/a
8/20,False,n/a
8/22,False,n/a
8/23,False,n/a
8/24,False,n/a
8/25,True,n/a
8/26,True,n/a
8/27,True,n/a
8/29,True,n/a
8/30,False,n/a
9/1,True,n/a
9/2,True,n/a
9/3,True,n/a
9/4,False,n/a
9/5,False,n/a
9/6,False,n/a
9/8,True,n/a
9/9,True,n/a
9/10,False,n/a
9/15,False,n/a
9/16,True,n/a
9/17,True,n/a
9/19,False,n/a
9/20,True,n/a
9/21,False,n/a
9/22,True,n/a
9/23,False,n/a
9/24,False,n/a
9/25,False,n/a
9/27,False,n/a
9/28,True,n/a
9/29,True,n/a
