date,hitVal,otherInfo
3/31,True,n/a
4/1,False,n/a
4/2,True,n/a
4/4,True,n/a
4/5,False,n/a
4/6,False,n/a
4/7,False,n/a
4/8,False,n/a
4/11,False,n/a
4/12,False,n/a
4/13,False,n/a
4/14,True,n/a
4/15,True,n/a
4/16,True,n/a
4/18,True,n/a
4/19,True,n/a
4/20,False,n/a
4/21,False,n/a
4/23,True,n/a
4/24,True,n/a
4/25,True,n/a
4/26,False,n/a
4/27,False,n/a
4/29,True,n/a
4/30,False,n/a
5/2,True,n/a
5/3,True,n/a
5/5,False,n/a
5/6,True,n/a
5/9,True,n/a
5/10,False,n/a
5/14,True,n/a
5/15,True,n/a
5/16,False,n/a
5/17,False,n/a
5/18,False,n/a
7/4,False,n/a
7/5,False,n/a
7/7,False,n/a
7/8,True,n/a
7/9,True,n/a
7/11,True,n/a
7/12,False,n/a
7/13,False,n/a
7/18,False,n/a
7/20,True,n/a
7/21,True,n/a
7/22,False,n/a
7/23,True,n/a
7/25,True,n/a
7/26,False,n/a
7/30,False,n/a
7/31,False,n/a
8/1,False,n/a
8/8,False,n/a
9/9,False,n/a
