date,hitVal,otherInfo
3/31,True,n/a
4/2,False,n/a
4/3,False,n/a
4/4,False,n/a
4/6,False,n/a
4/8,False,n/a
4/9,False,n/a
4/10,False,n/a
4/13,False,n/a
4/14,True,n/a
4/15,True,n/a
4/16,False,n/a
4/17,False,n/a
4/18,True,n/a
4/19,False,n/a
4/22,True,n/a
4/24,True,n/a
4/25,True,n/a
4/26,True,n/a
4/27,False,n/a
4/29,False,n/a
4/30,True,n/a
5/1,False,n/a
5/3,True,n/a
5/4,True,n/a
5/5,False,n/a
5/7,True,n/a
5/8,True,n/a
5/10,False,n/a
5/13,True,n/a
5/14,True,n/a
5/15,True,n/a
5/16,False,n/a
5/17,True,n/a
5/18,False,n/a
5/19,False,n/a
5/20,False,n/a
5/21,False,n/a
5/23,True,n/a
5/24,False,n/a
5/25,True,n/a
5/26,False,n/a
5/27,True,n/a
5/28,False,n/a
5/30,False,n/a
6/3,True,n/a
6/22,True,n/a
6/23,False,n/a
6/24,False,n/a
7/3,True,n/a
7/6,False,n/a
7/7,False,n/a
7/30,False,n/a
8/10,True,n/a
8/13,True,n/a
8/21,True,n/a
9/4,False,n/a
9/12,False,n/a
9/13,True,n/a
9/23,True,n/a
9/24,True,n/a
