date,hitVal,otherInfo
4/1,True,n/a
4/2,True,n/a
4/6,False,n/a
4/9,True,n/a
4/10,True,n/a
4/13,True,n/a
4/14,False,n/a
4/18,True,n/a
4/21,False,n/a
4/22,True,n/a
4/23,False,n/a
4/24,True,n/a
4/25,False,n/a
4/29,False,n/a
5/1,True,n/a
5/2,True,n/a
5/3,True,n/a
5/5,True,n/a
5/6,True,n/a
5/7,False,n/a
5/8,False,n/a
5/10,False,n/a
5/12,True,n/a
5/13,True,n/a
5/14,False,n/a
5/15,True,n/a
5/18,True,n/a
5/20,True,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/24,True,n/a
5/25,True,n/a
5/26,True,n/a
5/27,False,n/a
5/28,True,n/a
5/29,True,n/a
5/30,True,n/a
5/31,False,n/a
6/3,True,n/a
6/4,False,n/a
6/5,False,n/a
6/6,False,n/a
6/7,False,n/a
