date,hitVal,otherInfo
4/1,True,n/a
4/2,False,n/a
4/3,False,n/a
4/4,True,n/a
4/5,True,n/a
4/6,True,n/a
4/8,True,n/a
4/9,False,n/a
4/10,False,n/a
4/12,False,n/a
4/13,True,n/a
4/14,True,n/a
4/15,True,n/a
4/16,True,n/a
4/17,False,n/a
4/18,False,n/a
4/24,False,n/a
4/25,True,n/a
4/26,False,n/a
4/27,True,n/a
4/28,True,n/a
4/29,False,n/a
4/30,False,n/a
5/1,True,n/a
5/2,True,n/a
5/3,False,n/a
5/4,True,n/a
5/5,False,n/a
5/6,True,n/a
5/9,True,n/a
5/10,True,n/a
5/11,True,n/a
5/13,True,n/a
5/14,False,n/a
5/15,True,n/a
5/19,True,n/a
5/20,True,n/a
5/21,False,n/a
5/23,True,n/a
5/24,True,n/a
5/25,True,n/a
5/27,True,n/a
8/1,False,n/a
8/2,True,n/a
8/3,False,n/a
8/4,False,n/a
8/5,False,n/a
8/6,True,n/a
8/7,True,n/a
8/8,True,n/a
8/9,True,n/a
8/10,True,n/a
8/12,True,n/a
8/13,False,n/a
8/14,True,n/a
8/15,True,n/a
8/16,False,n/a
8/17,False,n/a
8/18,False,n/a
8/19,False,n/a
8/20,False,n/a
8/21,False,n/a
8/22,False,n/a
8/23,True,n/a
8/24,False,n/a
8/25,False,n/a
8/27,True,n/a
8/28,True,n/a
8/29,True,n/a
