date,hitVal,otherInfo
3/31,True,n/a
4/2,True,n/a
4/3,True,n/a
4/4,False,n/a
4/6,True,n/a
4/7,True,n/a
4/9,False,n/a
4/11,False,n/a
4/12,True,n/a
4/13,True,n/a
4/14,False,n/a
4/16,False,n/a
4/17,False,n/a
4/18,True,n/a
4/19,False,n/a
4/20,False,n/a
4/22,True,n/a
4/23,False,n/a
4/26,False,n/a
4/29,False,n/a
4/30,True,n/a
5/2,False,n/a
5/5,True,n/a
5/6,True,n/a
5/7,False,n/a
5/8,True,n/a
5/9,True,n/a
5/10,False,n/a
5/11,True,n/a
5/12,True,n/a
5/13,False,n/a
5/14,True,n/a
5/15,False,n/a
6/13,True,n/a
6/14,False,n/a
6/15,True,n/a
6/27,True,n/a
7/3,False,n/a
7/4,False,n/a
7/13,True,n/a
7/22,True,n/a
7/23,True,n/a
7/27,True,n/a
8/1,True,n/a
8/2,True,n/a
8/3,False,n/a
8/5,False,n/a
8/6,False,n/a
8/7,True,n/a
8/8,True,n/a
8/9,True,n/a
8/10,False,n/a
8/11,True,n/a
8/12,True,n/a
8/13,True,n/a
8/14,True,n/a
8/15,False,n/a
8/16,True,n/a
8/17,True,n/a
8/18,False,n/a
8/19,True,n/a
8/20,True,n/a
8/22,True,n/a
8/23,False,n/a
8/24,False,n/a
8/25,True,n/a
8/27,True,n/a
9/3,False,n/a
9/5,True,n/a
9/6,True,n/a
9/7,False,n/a
9/9,False,n/a
9/10,True,n/a
9/11,True,n/a
9/14,True,n/a
9/15,True,n/a
9/16,True,n/a
9/17,False,n/a
9/18,False,n/a
9/19,True,n/a
9/20,False,n/a
9/21,False,n/a
9/23,True,n/a
9/24,True,n/a
9/25,True,n/a
9/26,True,n/a
9/27,True,n/a
9/28,True,n/a
9/29,False,n/a
