date,hitVal,otherInfo,opPitcherEra
8/29,True,n/a,3.91
8/30,True,n/a,3.95
8/31,True,n/a,5.36
9/1,False,n/a,4.09
9/3,True,n/a,3.87
9/4,True,n/a,4.49
9/6,False,n/a,2.97
9/7,True,n/a,4.1
9/8,True,n/a,3.91
9/9,True,n/a,3.96
9/10,False,n/a,3.53
9/11,True,n/a,3.75
9/13,False,n/a,2.54
9/14,True,n/a,5.36
9/15,True,n/a,6.6
9/16,False,n/a,4.18
9/17,True,n/a,8.59
9/19,True,n/a,4.54
9/20,True,n/a,3.97
9/21,False,n/a,4.67
9/23,True,n/a,3.22
9/24,True,n/a,4.28
9/25,True,n/a,3.18
9/26,True,n/a,5.54
9/27,False,n/a,15.2
9/28,False,n/a,6.98
