date,hitVal,otherInfo
3/31,False,n/a
4/2,False,n/a
4/3,True,n/a
5/27,True,n/a
5/28,False,n/a
5/29,True,n/a
5/30,True,n/a
6/2,True,n/a
6/3,True,n/a
6/4,True,n/a
6/5,True,n/a
6/6,False,n/a
6/7,False,n/a
6/8,True,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/12,True,n/a
6/13,True,n/a
6/14,True,n/a
6/15,False,n/a
6/17,True,n/a
6/18,False,n/a
6/19,True,n/a
6/20,True,n/a
6/21,False,n/a
6/22,True,n/a
6/24,True,n/a
6/25,True,n/a
6/27,True,n/a
6/28,False,n/a
6/29,True,n/a
6/30,True,n/a
7/1,True,n/a
7/2,False,n/a
7/4,True,n/a
7/5,False,n/a
7/6,False,n/a
7/7,True,n/a
7/8,False,n/a
7/9,True,n/a
7/10,True,n/a
7/11,False,n/a
7/12,True,n/a
7/13,True,n/a
7/17,False,n/a
7/18,False,n/a
7/19,False,n/a
7/20,False,n/a
7/21,True,n/a
7/22,True,n/a
7/23,False,n/a
7/25,False,n/a
7/26,True,n/a
7/27,True,n/a
7/28,True,n/a
7/29,True,n/a
7/30,True,n/a
8/1,True,n/a
8/2,True,n/a
8/3,False,n/a
8/4,False,n/a
8/5,False,n/a
8/6,False,n/a
8/14,True,n/a
8/15,True,n/a
8/16,True,n/a
8/17,True,n/a
8/18,True,n/a
8/19,False,n/a
8/20,False,n/a
8/22,True,n/a
8/23,False,n/a
8/24,True,n/a
8/25,False,n/a
8/26,True,n/a
8/27,True,n/a
8/29,True,n/a
8/30,True,n/a
8/31,False,n/a
