date,hitVal,otherInfo
5/16,True,n/a
5/17,True,n/a
5/18,False,n/a
5/19,False,n/a
5/20,True,n/a
5/21,True,n/a
5/23,False,n/a
5/24,False,n/a
5/26,True,n/a
5/27,False,n/a
5/28,True,n/a
5/29,False,n/a
5/30,True,n/a
5/31,True,n/a
6/1,False,n/a
6/3,True,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/13,True,n/a
6/14,True,n/a
6/15,False,n/a
6/17,False,n/a
6/18,True,n/a
6/19,True,n/a
6/20,True,n/a
6/21,True,n/a
6/22,True,n/a
6/23,False,n/a
6/24,True,n/a
6/25,False,n/a
6/27,True,n/a
6/28,False,n/a
6/30,True,n/a
7/1,True,n/a
7/3,True,n/a
7/4,True,n/a
7/5,False,n/a
7/6,True,n/a
7/8,True,n/a
7/9,True,n/a
7/10,False,n/a
7/11,False,n/a
