date,hitVal,otherInfo,opPitcherEra
4/6,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,3.86
4/12,False,n/a,1.5
4/13,True,n/a,7.2
4/14,True,n/a,inf
4/15,True,n/a,3.86
4/16,True,n/a,0.0
4/17,False,n/a,3.0
4/18,False,n/a,4.5
4/21,True,n/a,7.84
4/22,True,n/a,7.2
4/23,True,n/a,4.63
4/24,True,n/a,5.0
4/25,True,n/a,4.5
4/26,False,n/a,4.2
4/27,True,n/a,1.42
4/28,False,n/a,7.95
4/29,True,n/a,2.63
4/30,True,n/a,4.42
5/1,True,n/a,2.38
5/4,False,n/a,8.41
5/5,True,n/a,4.83
5/6,True,n/a,2.21
5/7,False,n/a,3.48
5/8,False,n/a,1.65
5/9,False,n/a,3.0
5/10,True,n/a,3.47
5/12,True,n/a,2.79
5/13,True,n/a,4.14
5/14,True,n/a,5.19
5/16,True,n/a,5.5
5/17,True,n/a,4.82
5/18,False,n/a,4.7
5/19,True,n/a,3.27
5/20,True,n/a,4.65
5/21,True,n/a,4.02
5/22,True,n/a,5.02
5/23,True,n/a,16.89
5/24,False,n/a,2.75
5/25,False,n/a,3.83
5/26,True,n/a,4.71
5/27,False,n/a,5.79
5/29,True,n/a,2.4
5/30,True,n/a,4.02
5/31,True,n/a,4.61
6/1,True,n/a,4.25
6/2,True,n/a,5.12
6/3,True,n/a,2.53
6/4,True,n/a,4.19
6/5,True,n/a,5.44
6/6,False,n/a,4.94
6/7,False,n/a,4.11
6/8,False,n/a,4.1
6/9,False,n/a,2.63
6/10,True,n/a,3.65
6/11,True,n/a,4.31
6/12,True,n/a,8.71
6/13,True,n/a,5.4
6/14,False,n/a,3.17
6/16,True,n/a,3.02
6/17,False,n/a,2.24
6/19,True,n/a,5.14
6/20,True,n/a,4.1
6/21,True,n/a,3.31
6/22,True,n/a,6.27
6/23,True,n/a,4.18
6/24,False,n/a,1.84
6/25,True,n/a,3.22
6/26,True,n/a,5.1
6/27,True,n/a,4.04
6/28,True,n/a,5.88
6/29,True,n/a,2.57
6/30,True,n/a,4.68
7/1,True,n/a,2.57
7/2,False,n/a,4.55
7/3,True,n/a,8.68
7/4,True,n/a,4.63
7/5,True,n/a,5.7
7/7,True,n/a,2.75
7/8,False,n/a,4.6
7/9,True,n/a,7.52
7/10,True,n/a,5.35
7/11,True,n/a,3.33
7/12,True,n/a,3.47
7/17,True,n/a,4.53
7/18,True,n/a,2.01
7/19,True,n/a,7.91
7/20,True,n/a,5.2
7/21,True,n/a,2.81
7/22,False,n/a,3.65
7/24,True,n/a,2.68
7/25,True,n/a,2.6
7/26,True,n/a,4.24
7/27,True,n/a,3.45
7/28,False,n/a,3.72
7/29,True,n/a,2.96
7/30,True,n/a,4.57
7/31,False,n/a,5.26
8/1,False,n/a,2.65
8/2,False,n/a,3.0
8/4,True,n/a,2.96
8/5,True,n/a,4.5
8/7,True,n/a,4.75
8/8,True,n/a,4.03
8/9,True,n/a,3.45
8/10,True,n/a,4.23
8/11,True,n/a,1.93
8/12,True,n/a,7.12
8/14,True,n/a,2.43
8/15,True,n/a,2.9
8/16,True,n/a,4.16
8/17,True,n/a,inf
8/18,False,n/a,3.73
8/19,False,n/a,2.91
8/20,False,n/a,3.5
8/21,True,n/a,4.72
8/22,True,n/a,4.32
8/23,True,n/a,11.88
8/25,True,n/a,2.89
8/26,True,n/a,3.83
8/27,False,n/a,5.3
8/28,True,n/a,4.03
8/29,True,n/a,5.08
8/30,True,n/a,5.24
9/1,True,n/a,4.88
9/2,True,n/a,5.89
9/3,False,n/a,6.66
9/4,True,n/a,6.04
9/6,True,n/a,4.67
9/7,True,n/a,6.47
9/8,True,n/a,6.47
9/9,True,n/a,4.97
9/11,False,n/a,2.93
9/12,True,n/a,2.19
9/13,True,n/a,3.06
9/14,True,n/a,5.23
9/15,True,n/a,4.81
9/16,True,n/a,3.03
9/18,False,n/a,3.05
9/19,False,n/a,3.84
9/20,True,n/a,3.94
9/21,True,n/a,2.77
9/22,True,n/a,8.5
9/23,True,n/a,5.07
9/25,True,n/a,4.47
9/26,False,n/a,3.47
9/27,True,n/a,4.43
9/29,True,n/a,5.03
9/30,True,n/a,3.95
10/1,False,n/a,3.86
10/2,True,n/a,5.11
10/3,False,n/a,5.25
10/4,True,n/a,5.3
