date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,9.66
4/11,True,n/a,inf
4/12,False,n/a,0.0
4/13,True,n/a,3.0
4/16,False,n/a,3.86
4/17,True,n/a,5.03
4/18,False,n/a,1.38
4/19,False,n/a,12.0
4/20,False,n/a,1.35
4/21,False,n/a,4.05
4/23,False,n/a,4.96
4/24,True,n/a,6.06
7/23,True,n/a,5.06
7/24,True,n/a,2.88
7/25,True,n/a,3.99
7/27,False,n/a,3.26
7/28,True,n/a,1.69
7/29,True,n/a,5.22
7/30,True,n/a,5.4
8/1,False,n/a,8.26
8/2,True,n/a,3.11
8/3,True,n/a,2.32
8/4,True,n/a,4.11
8/5,False,n/a,3.1
8/6,False,n/a,3.38
8/7,True,n/a,2.98
8/8,False,n/a,3.38
8/9,False,n/a,5.65
8/10,False,n/a,5.25
8/11,False,n/a,4.34
8/13,True,n/a,3.65
8/15,True,n/a,3.32
8/16,True,n/a,3.78
8/18,True,n/a,3.08
8/20,True,n/a,3.62
8/21,False,n/a,3.85
8/22,False,n/a,4.44
8/23,True,n/a,4.36
8/25,True,n/a,4.53
8/27,False,n/a,4.82
8/29,False,n/a,2.36
9/1,True,n/a,3.61
9/3,False,n/a,4.5
9/4,False,n/a,2.28
9/7,False,n/a,5.03
9/19,True,n/a,2.8
9/21,True,n/a,2.49
9/22,False,n/a,2.02
9/26,True,n/a,3.75
9/27,False,n/a,4.0
9/28,True,n/a,3.6
10/2,False,n/a,2.25
10/3,True,n/a,3.09
