date,hitVal,otherInfo,opPitcherEra
4/6,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/12,False,n/a,1.13
4/13,False,n/a,0.0
4/14,False,n/a,3.52
4/15,True,n/a,4.09
4/16,True,n/a,2.77
4/17,True,n/a,3.46
4/18,False,n/a,0.0
4/20,False,n/a,5.56
4/21,True,n/a,3.1
4/23,False,n/a,8.44
4/28,True,n/a,3.0
4/30,False,n/a,5.09
5/3,True,n/a,3.12
5/4,True,n/a,2.43
5/5,True,n/a,2.12
5/6,True,n/a,3.73
5/8,False,n/a,1.5
5/9,False,n/a,5.79
5/11,True,n/a,2.4
5/12,True,n/a,6.21
5/15,True,n/a,3.43
5/16,False,n/a,5.06
5/17,False,n/a,5.22
5/18,False,n/a,2.73
5/19,False,n/a,4.93
5/25,True,n/a,3.45
5/26,True,n/a,3.68
5/27,False,n/a,3.46
5/29,False,n/a,4.11
6/3,False,n/a,4.16
6/5,True,n/a,2.97
6/9,True,n/a,4.14
6/14,True,n/a,2.82
6/25,False,n/a,3.55
