date,hitVal,otherInfo,opPitcherEra
4/9,True,n/a,inf
4/10,False,n/a,8.44
4/13,False,n/a,3.6
4/18,True,n/a,7.2
4/23,True,n/a,inf
4/24,True,n/a,1.57
4/28,True,n/a,2.77
5/2,False,n/a,2.56
5/6,True,n/a,5.28
5/7,True,n/a,3.46
5/9,False,n/a,4.14
5/11,False,n/a,7.11
5/15,True,n/a,3.0
5/16,True,n/a,2.02
5/18,True,n/a,5.35
5/20,False,n/a,1.79
5/25,True,n/a,3.47
5/30,True,n/a,6.05
6/1,True,n/a,6.12
6/2,True,n/a,2.59
6/4,True,n/a,3.48
6/8,True,n/a,4.63
6/10,True,n/a,3.43
6/24,True,n/a,2.88
6/26,False,n/a,3.6
7/1,True,n/a,3.33
7/2,True,n/a,4.97
7/3,True,n/a,3.47
7/4,False,n/a,6.03
7/5,True,n/a,4.5
7/6,True,n/a,5.4
7/10,True,n/a,5.18
7/16,False,n/a,3.09
7/20,True,n/a,4.39
7/21,True,n/a,6.38
7/25,True,n/a,5.26
7/27,False,n/a,3.76
7/28,True,n/a,2.72
7/29,False,n/a,5.55
7/30,True,n/a,4.04
8/1,True,n/a,3.15
8/2,False,n/a,3.21
8/3,True,n/a,1.84
8/5,False,n/a,4.44
8/6,True,n/a,3.77
8/7,False,n/a,0.0
8/9,True,n/a,4.32
8/10,False,n/a,4.19
8/11,False,n/a,3.81
8/13,False,n/a,4.04
8/14,True,n/a,5.09
8/15,True,n/a,5.29
8/16,True,n/a,2.57
8/20,False,n/a,3.71
8/21,True,n/a,2.89
8/22,False,n/a,3.44
8/23,False,n/a,6.4
8/27,False,n/a,3.26
8/30,False,n/a,3.8
9/13,False,n/a,3.14
9/23,True,n/a,3.05
9/24,True,n/a,3.75
9/26,False,n/a,4.23
9/27,False,n/a,4.59
10/1,False,n/a,4.46
