date,hitVal,otherInfo,opPitcherEra
4/8,False,n/a,inf
4/12,True,n/a,9.0
4/18,True,n/a,6.1
4/19,True,n/a,6.55
4/20,False,n/a,1.29
4/21,True,n/a,3.75
4/22,False,n/a,3.0
4/24,True,n/a,11.26
4/26,True,n/a,5.82
5/4,True,n/a,4.26
5/6,False,n/a,6.0
5/12,False,n/a,4.12
5/19,True,n/a,4.57
5/22,True,n/a,2.38
5/23,False,n/a,2.55
5/25,False,n/a,3.23
5/27,False,n/a,3.41
6/1,False,n/a,4.79
6/7,True,n/a,inf
6/9,True,n/a,4.67
6/12,True,n/a,5.4
6/16,True,n/a,3.79
6/17,True,n/a,3.95
6/18,True,n/a,5.27
6/20,True,n/a,4.7
6/22,False,n/a,2.88
6/23,True,n/a,2.55
6/27,False,n/a,3.23
7/1,False,n/a,0.0
7/19,True,n/a,4.97
7/28,False,n/a,6.08
8/1,True,n/a,5.15
8/4,True,n/a,5.42
8/8,True,n/a,2.3
8/11,True,n/a,3.35
8/12,True,n/a,3.06
8/18,True,n/a,3.8
8/22,False,n/a,3.75
8/24,True,n/a,5.13
8/29,True,n/a,3.25
8/30,True,n/a,4.83
9/5,True,n/a,3.7
9/6,True,n/a,3.71
9/7,False,n/a,2.36
9/11,True,n/a,4.69
9/13,False,n/a,2.69
9/19,True,n/a,6.75
10/2,True,n/a,2.8
