date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/11,False,n/a,inf
4/13,False,n/a,9.0
4/14,True,n/a,6.75
4/16,True,n/a,5.73
4/17,True,n/a,1.5
4/18,False,n/a,1.2
4/19,False,n/a,2.92
4/21,True,n/a,0.69
4/22,True,n/a,1.93
4/23,False,n/a,4.91
4/27,True,n/a,2.18
4/28,False,n/a,inf
4/30,True,n/a,7.72
5/2,True,n/a,5.25
5/3,False,n/a,3.25
5/4,True,n/a,6.37
5/7,True,n/a,2.48
5/9,False,n/a,1.7
5/10,True,n/a,4.67
5/11,True,n/a,3.54
5/12,False,n/a,5.63
5/13,True,n/a,3.35
5/14,True,n/a,4.08
5/15,True,n/a,4.54
5/17,True,n/a,5.73
5/20,True,n/a,3.9
5/21,False,n/a,8.02
5/22,False,n/a,2.25
5/23,True,n/a,3.43
5/25,True,n/a,4.3
5/26,True,n/a,5.06
5/28,True,n/a,3.2
5/29,False,n/a,3.54
5/31,True,n/a,4.03
6/1,True,n/a,3.71
6/4,True,n/a,2.89
6/5,False,n/a,4.3
6/6,True,n/a,4.57
6/8,False,n/a,2.87
6/10,False,n/a,2.68
6/11,True,n/a,3.71
6/12,False,n/a,5.11
6/15,True,n/a,4.74
6/16,True,n/a,3.59
6/18,False,n/a,5.43
6/20,False,n/a,4.0
6/22,False,n/a,3.54
6/26,True,n/a,3.64
6/27,True,n/a,4.62
6/29,True,n/a,4.89
6/30,False,n/a,4.4
7/2,False,n/a,4.34
7/4,True,n/a,5.13
7/5,True,n/a,1.93
7/6,False,n/a,inf
7/10,True,n/a,2.44
7/11,False,n/a,4.4
7/16,False,n/a,3.76
7/17,False,n/a,3.34
7/19,False,n/a,4.12
7/21,True,n/a,4.6
7/24,True,n/a,3.61
8/19,False,n/a,5.42
8/24,True,n/a,4.64
8/25,False,n/a,4.67
8/27,True,n/a,2.66
8/28,True,n/a,3.98
8/30,True,n/a,2.22
8/31,True,n/a,4.64
9/1,False,n/a,2.28
9/3,True,n/a,4.07
9/4,False,n/a,3.11
9/5,True,n/a,3.54
9/7,False,n/a,2.26
9/8,False,n/a,7.2
9/10,True,n/a,2.91
9/14,False,n/a,4.14
9/15,False,n/a,3.19
9/16,False,n/a,3.29
9/19,True,n/a,4.46
9/23,False,n/a,2.84
9/26,True,n/a,4.46
10/2,True,n/a,4.4
