date,hitVal,otherInfo,opPitcherEra
5/16,True,n/a,2.49
5/17,False,n/a,4.09
5/19,True,n/a,5.47
5/20,True,n/a,2.88
5/21,True,n/a,1.54
5/22,False,n/a,2.94
5/25,False,n/a,3.43
5/26,False,n/a,4.43
7/1,False,n/a,3.49
7/3,True,n/a,4.02
7/6,False,n/a,3.94
7/8,False,n/a,2.82
7/11,False,n/a,3.19
7/17,True,n/a,4.77
7/20,False,n/a,3.59
7/21,False,n/a,4.1
7/22,True,n/a,4.65
7/24,False,n/a,2.81
7/27,True,n/a,3.87
7/28,True,n/a,3.96
7/30,False,n/a,5.0
7/31,True,n/a,4.76
8/8,False,n/a,5.33
8/11,False,n/a,3.75
8/14,True,n/a,4.09
8/21,False,n/a,4.89
8/25,False,n/a,6.67
8/28,False,n/a,6.49
9/4,False,n/a,4.61
9/12,False,n/a,3.39
9/18,True,n/a,3.87
9/22,True,n/a,4.5
9/26,False,n/a,4.96
10/1,False,n/a,3.08
10/3,True,n/a,3.5
