date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/11,True,n/a,inf
4/17,False,n/a,1.29
4/18,False,n/a,2.25
4/23,True,n/a,inf
4/25,False,n/a,11.75
4/27,False,n/a,3.71
4/28,False,n/a,8.64
5/2,False,n/a,2.7
5/5,True,n/a,8.87
5/11,True,n/a,4.04
5/16,True,n/a,1.61
5/21,True,n/a,4.68
5/28,False,n/a,0.68
6/2,False,n/a,6.03
6/4,True,n/a,4.66
6/7,True,n/a,5.15
6/13,False,n/a,3.2
6/18,True,n/a,inf
6/27,True,n/a,2.48
6/28,False,n/a,3.46
6/30,False,n/a,3.03
7/5,False,n/a,4.97
7/10,False,n/a,3.31
7/18,True,n/a,5.69
7/19,False,n/a,2.57
7/21,True,n/a,3.51
7/22,False,n/a,4.69
8/4,True,n/a,3.49
8/8,True,n/a,20.53
8/12,True,n/a,5.66
8/15,False,n/a,4.16
8/24,True,n/a,4.64
8/31,True,n/a,4.64
9/1,False,n/a,2.28
9/3,False,n/a,4.07
