date,hitVal,otherInfo
7/15,True,n/a
7/16,True,n/a
7/17,True,n/a
7/19,True,n/a
7/20,False,n/a
7/21,True,n/a
7/23,False,n/a
7/24,False,n/a
7/25,False,n/a
7/27,True,n/a
7/28,True,n/a
7/29,True,n/a
7/30,False,n/a
7/31,False,n/a
8/2,True,n/a
8/3,True,n/a
8/4,False,n/a
8/6,False,n/a
8/7,True,n/a
8/8,False,n/a
8/11,False,n/a
8/12,True,n/a
8/13,True,n/a
8/14,True,n/a
8/15,True,n/a
8/16,True,n/a
8/17,True,n/a
8/18,False,n/a
8/20,True,n/a
8/21,False,n/a
8/22,False,n/a
8/24,True,n/a
8/25,False,n/a
8/26,True,n/a
8/27,False,n/a
8/28,True,n/a
8/29,False,n/a
8/31,True,n/a
9/1,False,n/a
9/2,True,n/a
9/4,True,n/a
9/5,True,n/a
9/7,True,n/a
9/8,True,n/a
9/10,True,n/a
9/12,True,n/a
9/13,False,n/a
9/14,True,n/a
9/15,True,n/a
9/17,False,n/a
9/18,False,n/a
9/19,True,n/a
9/21,True,n/a
9/22,True,n/a
9/24,False,n/a
9/25,True,n/a
9/26,True,n/a
9/28,False,n/a
