date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/8,False,n/a,inf
4/15,False,n/a,1.5
4/18,False,n/a,0.75
4/22,True,n/a,1.8
4/23,True,n/a,2.12
4/25,True,n/a,6.46
4/26,True,n/a,7.2
4/27,False,n/a,4.56
4/29,False,n/a,8.38
5/3,True,n/a,4.2
5/15,True,n/a,3.42
5/16,False,n/a,6.69
6/2,False,n/a,6.02
6/7,True,n/a,2.91
6/13,True,n/a,2.41
6/20,True,n/a,4.5
7/6,True,n/a,4.85
7/7,False,n/a,3.86
7/11,False,n/a,4.96
7/28,False,n/a,3.15
8/5,True,n/a,2.79
8/13,True,n/a,6.21
8/14,True,n/a,2.94
8/15,True,n/a,4.1
8/16,False,n/a,2.84
8/17,True,n/a,3.92
8/18,True,n/a,4.99
8/19,True,n/a,5.28
8/20,True,n/a,5.23
8/21,False,n/a,5.8
8/22,False,n/a,5.49
8/23,True,n/a,6.67
8/24,True,n/a,3.52
8/25,True,n/a,1.92
8/26,False,n/a,3.45
8/27,True,n/a,2.86
8/29,False,n/a,3.24
8/30,True,n/a,5.41
8/31,True,n/a,6.0
9/1,True,n/a,6.0
9/6,True,n/a,3.6
9/7,True,n/a,3.53
9/9,True,n/a,inf
9/22,False,n/a,3.12
9/26,True,n/a,2.81
9/28,False,n/a,2.31
9/29,False,n/a,3.91
