date,hitVal,otherInfo,opPitcherEra
4/10,False,n/a,12.3
4/15,False,n/a,0.0
4/20,True,n/a,9.45
4/24,True,n/a,6.06
4/25,False,n/a,2.81
4/27,True,n/a,6.46
5/1,True,n/a,1.8
5/5,True,n/a,5.33
5/8,True,n/a,5.55
5/16,True,n/a,3.66
5/18,False,n/a,2.35
5/19,True,n/a,1.46
5/27,False,n/a,3.93
5/30,True,n/a,4.53
6/2,False,n/a,3.0
6/10,True,n/a,3.26
6/13,True,n/a,4.64
6/17,True,n/a,4.62
6/19,False,n/a,3.11
6/23,True,n/a,4.06
6/24,True,n/a,3.32
6/28,False,n/a,4.92
7/1,True,n/a,3.1
7/18,False,n/a,3.47
7/23,True,n/a,3.65
7/28,False,n/a,2.21
7/30,False,n/a,4.1
8/2,True,n/a,2.4
8/7,True,n/a,3.56
8/11,True,n/a,4.67
8/13,True,n/a,3.45
8/16,False,n/a,4.18
8/22,False,n/a,5.33
8/27,False,n/a,2.42
8/28,False,n/a,3.08
8/31,False,n/a,4.0
9/2,False,n/a,2.24
9/7,False,n/a,inf
9/14,False,n/a,5.47
9/15,False,n/a,5.37
9/26,False,n/a,2.93
