date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/13,False,n/a,3.0
4/16,False,n/a,3.86
4/17,True,n/a,5.03
4/20,True,n/a,1.35
4/28,False,n/a,4.63
5/1,False,n/a,2.2
5/5,False,n/a,5.87
5/6,False,n/a,4.97
5/22,True,n/a,1.29
5/23,True,n/a,5.13
5/25,True,n/a,4.74
5/26,True,n/a,5.9
5/30,False,n/a,3.15
6/2,True,n/a,6.34
6/6,True,n/a,3.72
6/27,True,n/a,1.79
6/28,True,n/a,4.6
7/6,False,n/a,5.92
7/9,True,n/a,4.53
7/16,True,n/a,3.79
7/19,True,n/a,3.97
7/21,True,n/a,5.41
7/22,True,n/a,3.13
7/26,False,n/a,3.54
7/28,True,n/a,1.69
7/29,False,n/a,5.22
7/31,False,n/a,6.96
8/6,True,n/a,6.27
8/8,True,n/a,3.19
8/10,False,n/a,3.6
8/11,False,n/a,2.94
8/12,True,n/a,3.15
8/15,True,n/a,4.92
8/21,True,n/a,5.07
8/25,True,n/a,4.21
8/27,True,n/a,3.86
8/28,True,n/a,3.06
8/30,True,n/a,3.02
9/10,True,n/a,3.99
9/15,True,n/a,4.88
9/17,False,n/a,3.62
9/29,True,n/a,3.98
