date,hitVal,otherInfo
6/27,True,n/a
7/4,True,n/a
7/18,True,n/a
7/19,True,n/a
7/20,True,n/a
7/26,True,n/a
8/6,False,n/a
8/7,True,n/a
8/15,False,n/a
8/19,False,n/a
8/20,True,n/a
8/22,False,n/a
8/27,True,n/a
8/28,True,n/a
8/29,True,n/a
8/30,True,n/a
8/31,False,n/a
9/5,True,n/a
9/6,True,n/a
9/7,True,n/a
9/8,True,n/a
9/10,True,n/a
9/11,True,n/a
9/12,True,n/a
9/13,False,n/a
9/14,True,n/a
9/15,True,n/a
9/17,False,n/a
9/18,False,n/a
9/19,False,n/a
9/27,True,n/a
9/28,True,n/a
9/29,True,n/a
9/30,True,n/a
10/1,False,n/a
10/2,False,n/a
