date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/11,True,n/a,1.29
4/12,True,n/a,2.57
4/14,True,n/a,1.29
4/15,True,n/a,6.0
4/16,False,n/a,1.5
4/18,False,n/a,4.38
4/20,False,n/a,3.46
4/21,True,n/a,4.5
4/22,True,n/a,6.75
4/23,True,n/a,4.59
4/24,True,n/a,inf
4/25,True,n/a,16.55
4/27,True,n/a,8.31
4/28,False,n/a,3.92
4/29,True,n/a,7.43
4/30,False,n/a,2.14
5/1,True,n/a,3.28
5/2,True,n/a,5.79
5/3,True,n/a,inf
5/4,True,n/a,4.45
5/5,False,n/a,4.5
5/6,True,n/a,4.5
5/7,False,n/a,5.47
5/8,False,n/a,2.06
5/9,True,n/a,0.49
5/11,True,n/a,1.99
5/12,True,n/a,5.45
5/13,False,n/a,2.8
5/14,True,n/a,5.97
5/15,True,n/a,1.86
5/17,True,n/a,3.86
5/18,True,n/a,2.66
5/19,True,n/a,6.35
5/20,True,n/a,1.12
5/21,True,n/a,2.38
5/22,True,n/a,2.54
5/25,False,n/a,5.11
5/26,True,n/a,5.17
5/27,False,n/a,5.59
5/28,True,n/a,inf
5/29,False,n/a,5.98
5/30,True,n/a,2.7
5/31,True,n/a,4.82
6/1,True,n/a,5.6
6/2,True,n/a,5.01
6/3,True,n/a,1.5
6/4,True,n/a,6.13
6/5,True,n/a,3.73
6/6,True,n/a,4.4
6/7,False,n/a,6.09
6/9,True,n/a,5.0
6/10,False,n/a,3.77
6/11,False,n/a,2.47
6/12,False,n/a,5.63
6/13,True,n/a,2.71
6/15,True,n/a,5.48
6/16,False,n/a,4.02
6/17,False,n/a,inf
6/18,False,n/a,5.28
6/19,True,n/a,3.3
6/22,True,n/a,3.11
6/24,True,n/a,2.16
6/25,True,n/a,3.08
6/27,True,n/a,2.31
6/28,True,n/a,3.84
6/29,True,n/a,2.36
6/30,False,n/a,4.54
7/1,True,n/a,3.13
7/2,False,n/a,2.85
7/3,False,n/a,5.49
7/6,True,n/a,4.65
7/7,True,n/a,8.88
7/8,True,n/a,4.39
7/9,True,n/a,2.24
7/10,False,n/a,5.23
7/11,False,n/a,4.88
7/16,False,n/a,5.49
7/17,True,n/a,4.22
7/19,True,n/a,3.45
7/20,True,n/a,3.57
7/24,False,n/a,3.39
7/25,True,n/a,3.45
7/26,True,n/a,3.86
7/27,False,n/a,3.88
7/28,False,n/a,4.07
7/30,False,n/a,5.34
7/31,True,n/a,4.27
8/1,True,n/a,5.07
8/2,True,n/a,inf
8/4,True,n/a,2.93
8/6,True,n/a,4.55
8/8,True,n/a,2.71
8/9,True,n/a,inf
8/10,True,n/a,4.48
8/11,True,n/a,3.7
8/13,False,n/a,4.23
8/14,False,n/a,4.9
8/15,False,n/a,4.39
8/17,True,n/a,2.9
8/18,True,n/a,2.43
8/19,False,n/a,1.5
8/20,False,n/a,3.31
8/21,False,n/a,4.91
8/22,True,n/a,inf
8/23,True,n/a,5.55
8/24,True,n/a,3.51
8/25,True,n/a,2.16
8/26,True,n/a,4.59
8/27,True,n/a,3.8
8/28,True,n/a,2.94
8/29,True,n/a,2.64
8/30,True,n/a,4.06
8/31,True,n/a,2.93
9/1,True,n/a,4.64
9/3,True,n/a,1.86
9/4,False,n/a,4.7
9/5,False,n/a,5.24
9/6,True,n/a,5.76
9/7,True,n/a,3.92
9/8,False,n/a,4.56
9/10,True,n/a,3.39
9/11,True,n/a,4.63
9/12,True,n/a,4.02
9/13,True,n/a,5.2
9/14,False,n/a,4.09
9/15,False,n/a,4.6
9/17,True,n/a,3.31
9/18,True,n/a,4.05
9/19,True,n/a,3.36
