date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,False,n/a,inf
4/10,False,n/a,inf
4/12,False,n/a,7.95
4/13,True,n/a,0.0
4/14,True,n/a,3.0
4/16,True,n/a,1.8
4/17,False,n/a,9.0
4/19,True,n/a,11.75
4/20,True,n/a,4.91
4/26,True,n/a,4.82
4/27,True,n/a,3.28
4/28,True,n/a,11.37
4/30,True,n/a,3.8
5/1,True,n/a,5.48
5/2,True,n/a,1.75
5/4,False,n/a,3.38
5/19,True,n/a,5.47
5/20,False,n/a,2.88
5/21,True,n/a,1.54
5/22,False,n/a,2.94
5/23,False,n/a,3.28
5/25,True,n/a,3.43
5/26,True,n/a,4.43
5/28,True,n/a,6.09
5/29,False,n/a,3.36
5/30,False,n/a,4.4
5/31,False,n/a,3.17
6/2,True,n/a,4.16
6/3,True,n/a,4.0
6/4,False,n/a,5.09
6/5,False,n/a,3.44
6/6,True,n/a,5.16
6/7,True,n/a,5.82
6/8,False,n/a,3.62
6/9,True,n/a,3.62
6/11,True,n/a,5.04
6/12,False,n/a,3.22
6/13,True,n/a,2.72
6/14,True,n/a,2.3
6/15,True,n/a,20.3
6/16,True,n/a,1.49
6/18,False,n/a,4.5
6/19,False,n/a,3.75
6/20,False,n/a,5.45
6/22,False,n/a,3.67
6/23,False,n/a,4.92
6/25,False,n/a,4.67
6/26,True,n/a,4.8
6/27,True,n/a,5.76
6/29,True,n/a,3.17
6/30,True,n/a,5.16
7/1,True,n/a,3.49
7/2,False,n/a,5.26
7/3,False,n/a,4.02
7/15,False,n/a,3.96
7/17,True,n/a,4.77
7/18,True,n/a,3.76
7/19,True,n/a,11.25
7/20,False,n/a,3.59
7/22,False,n/a,4.65
7/23,False,n/a,7.29
7/24,True,n/a,2.81
7/26,False,n/a,3.37
