date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,7.2
4/12,False,n/a,2.46
4/14,True,n/a,1.29
4/17,False,n/a,8.44
4/18,False,n/a,4.5
7/4,False,n/a,4.25
7/5,False,n/a,6.75
7/6,True,n/a,3.34
7/7,True,n/a,3.35
7/8,True,n/a,4.86
7/9,False,n/a,4.83
7/10,False,n/a,4.28
7/11,False,n/a,2.65
7/16,True,n/a,4.61
7/17,True,n/a,3.82
7/18,True,n/a,6.39
7/19,True,n/a,4.87
7/23,True,n/a,2.92
7/25,False,n/a,4.41
7/26,False,n/a,4.68
8/6,True,n/a,3.18
8/7,False,n/a,3.32
8/8,True,n/a,2.1
8/10,True,n/a,5.07
8/11,False,n/a,6.27
8/12,True,n/a,5.84
8/13,True,n/a,3.38
8/14,False,n/a,3.12
8/15,True,n/a,2.72
8/17,True,n/a,3.99
8/18,True,n/a,4.5
8/19,True,n/a,5.22
8/25,True,n/a,2.54
8/26,True,n/a,3.57
8/27,True,n/a,4.5
8/28,True,n/a,3.83
8/30,True,n/a,3.93
8/31,True,n/a,0.96
9/1,True,n/a,4.89
9/2,True,n/a,3.73
9/3,True,n/a,4.13
9/4,True,n/a,4.25
9/5,True,n/a,2.39
9/6,True,n/a,3.5
9/7,True,n/a,4.85
9/8,True,n/a,6.19
9/10,True,n/a,3.52
9/11,True,n/a,5.85
9/12,True,n/a,4.4
9/14,True,n/a,5.98
9/15,True,n/a,3.05
9/16,True,n/a,4.0
9/17,True,n/a,4.96
9/18,True,n/a,7.4
9/19,True,n/a,4.82
9/20,False,n/a,2.07
9/21,True,n/a,4.6
9/22,True,n/a,5.43
9/27,True,n/a,4.45
9/29,False,n/a,3.4
10/1,True,n/a,4.85
10/2,True,n/a,4.32
10/3,True,n/a,3.25
