date,hitVal,otherInfo,opPitcherEra
4/20,True,n/a,3.48
4/22,True,n/a,3.38
4/23,True,n/a,2.41
4/25,True,n/a,5.4
4/26,True,n/a,2.77
4/28,False,n/a,4.73
5/1,True,n/a,inf
5/4,False,n/a,2.25
5/5,True,n/a,5.46
5/9,False,n/a,6.47
5/11,True,n/a,5.03
5/12,True,n/a,5.45
5/14,False,n/a,4.67
5/16,True,n/a,5.66
5/17,False,n/a,2.27
5/19,False,n/a,7.17
5/20,False,n/a,5.86
5/21,True,n/a,4.79
5/23,True,n/a,5.22
5/24,True,n/a,2.26
5/25,True,n/a,5.74
5/26,True,n/a,4.55
5/28,True,n/a,2.72
5/30,False,n/a,3.55
6/1,True,n/a,3.78
6/2,False,n/a,4.51
6/3,True,n/a,5.27
6/4,True,n/a,3.34
6/5,True,n/a,6.23
6/7,True,n/a,5.49
6/8,False,n/a,6.02
6/9,True,n/a,2.39
6/11,False,n/a,4.24
6/12,True,n/a,2.32
6/13,False,n/a,2.57
6/15,True,n/a,2.97
6/17,False,n/a,2.78
6/19,True,n/a,4.5
6/20,True,n/a,7.5
6/22,True,n/a,4.76
6/23,True,n/a,4.48
6/24,True,n/a,6.96
6/25,True,n/a,5.17
6/26,True,n/a,4.5
6/29,True,n/a,3.17
6/30,True,n/a,5.16
7/1,True,n/a,3.49
7/2,True,n/a,5.26
7/4,True,n/a,4.36
7/5,True,n/a,5.46
7/6,True,n/a,3.94
7/7,True,n/a,5.64
7/8,False,n/a,2.82
7/9,True,n/a,3.83
7/10,False,n/a,4.81
7/19,True,n/a,11.25
7/27,True,n/a,3.87
7/28,True,n/a,3.96
7/30,True,n/a,5.0
7/31,False,n/a,4.76
8/1,False,n/a,3.35
8/3,False,n/a,3.4
8/4,False,n/a,3.11
8/5,True,n/a,3.31
8/6,False,n/a,3.97
8/7,True,n/a,4.75
8/8,False,n/a,5.33
8/9,True,n/a,3.86
8/11,True,n/a,3.75
8/13,True,n/a,3.9
8/14,True,n/a,4.09
8/15,False,n/a,5.47
8/16,True,n/a,5.84
8/17,False,n/a,5.74
8/18,False,n/a,3.88
8/20,True,n/a,4.7
8/21,True,n/a,4.89
8/22,True,n/a,3.12
8/23,False,n/a,4.62
8/25,True,n/a,6.67
8/27,True,n/a,4.63
8/28,True,n/a,6.49
8/29,False,n/a,3.56
8/30,True,n/a,4.13
8/31,False,n/a,4.02
9/1,False,n/a,5.08
9/2,True,n/a,4.08
9/3,False,n/a,4.19
9/4,True,n/a,4.61
9/5,True,n/a,3.08
9/6,False,n/a,3.17
9/7,True,n/a,3.23
9/8,True,n/a,3.12
9/10,False,n/a,3.13
9/11,True,n/a,4.02
9/12,True,n/a,3.39
9/13,False,n/a,3.26
9/14,False,n/a,4.7
9/15,True,n/a,2.54
