date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,9.66
4/11,True,n/a,inf
4/12,True,n/a,0.0
4/13,True,n/a,3.0
4/14,True,n/a,3.6
4/16,True,n/a,3.86
4/17,False,n/a,5.03
4/18,True,n/a,1.38
4/19,False,n/a,12.0
4/20,True,n/a,1.35
4/21,True,n/a,4.05
4/23,False,n/a,4.96
4/24,True,n/a,6.06
4/25,True,n/a,2.45
4/26,True,n/a,2.15
4/27,True,n/a,5.14
4/28,False,n/a,4.63
4/29,True,n/a,2.17
4/30,True,n/a,3.27
5/1,True,n/a,2.2
5/2,False,n/a,3.68
5/3,True,n/a,7.85
5/4,True,n/a,6.49
5/5,True,n/a,5.87
5/6,True,n/a,4.97
5/7,True,n/a,1.65
5/8,True,n/a,3.52
5/9,False,n/a,5.46
5/11,True,n/a,5.75
5/12,True,n/a,3.86
5/13,True,n/a,4.6
5/14,True,n/a,4.96
5/15,True,n/a,5.57
5/16,True,n/a,6.92
5/17,True,n/a,5.77
5/18,False,n/a,3.69
5/19,True,n/a,5.92
5/20,True,n/a,3.23
5/21,True,n/a,7.72
5/22,False,n/a,1.29
5/23,True,n/a,5.13
5/25,True,n/a,4.74
5/26,True,n/a,5.9
5/27,True,n/a,5.77
5/28,True,n/a,4.44
5/29,False,n/a,3.07
5/30,True,n/a,3.15
5/31,False,n/a,3.65
6/1,False,n/a,4.95
6/2,True,n/a,6.34
6/3,False,n/a,3.02
6/4,True,n/a,6.42
6/5,True,n/a,3.75
6/6,True,n/a,3.72
6/8,False,n/a,3.84
6/9,True,n/a,4.11
6/11,False,n/a,4.65
6/12,True,n/a,4.25
6/13,True,n/a,3.12
6/15,True,n/a,3.82
6/16,False,n/a,3.16
6/17,True,n/a,3.18
6/18,True,n/a,4.81
6/19,False,n/a,3.23
6/20,True,n/a,4.42
6/21,True,n/a,2.94
6/22,False,n/a,4.78
6/23,True,n/a,1.86
6/25,True,n/a,5.41
6/26,True,n/a,5.63
6/27,False,n/a,1.79
6/28,True,n/a,4.6
6/29,True,n/a,4.8
6/30,True,n/a,4.71
7/2,False,n/a,4.89
7/3,False,n/a,3.92
7/4,True,n/a,4.23
7/5,True,n/a,3.03
7/6,True,n/a,5.92
7/7,True,n/a,3.22
7/9,False,n/a,4.53
7/10,False,n/a,4.43
7/11,True,n/a,inf
7/16,True,n/a,3.79
7/17,False,n/a,2.94
7/18,True,n/a,3.81
7/19,True,n/a,3.97
7/20,True,n/a,6.54
7/21,True,n/a,5.41
7/22,True,n/a,3.13
7/23,True,n/a,5.06
7/24,True,n/a,2.88
7/26,False,n/a,3.54
7/27,True,n/a,3.26
7/28,True,n/a,1.69
7/29,True,n/a,5.22
7/30,True,n/a,5.4
7/31,True,n/a,6.96
8/1,True,n/a,5.96
8/2,False,n/a,2.93
8/3,True,n/a,4.04
8/4,False,n/a,3.25
8/6,True,n/a,6.27
8/7,True,n/a,3.38
8/8,True,n/a,3.19
8/9,True,n/a,4.11
8/10,True,n/a,3.6
8/11,True,n/a,2.94
8/12,False,n/a,3.15
8/13,True,n/a,3.86
8/14,True,n/a,3.92
8/15,True,n/a,4.92
8/17,True,n/a,1.54
8/18,True,n/a,3.87
8/19,True,n/a,4.25
8/21,False,n/a,5.07
8/22,True,n/a,3.33
8/23,True,n/a,5.37
8/24,True,n/a,5.76
8/25,True,n/a,4.21
8/29,True,n/a,4.2
8/30,True,n/a,3.02
8/31,True,n/a,3.91
9/1,False,n/a,3.67
9/3,True,n/a,5.27
9/4,True,n/a,5.2
9/5,True,n/a,3.99
9/6,True,n/a,4.39
9/7,False,n/a,3.27
9/10,False,n/a,3.99
9/11,True,n/a,2.05
9/12,True,n/a,0.84
9/13,False,n/a,inf
9/14,True,n/a,3.16
9/15,True,n/a,2.61
9/17,True,n/a,2.18
9/18,True,n/a,4.74
9/19,True,n/a,4.17
9/20,True,n/a,5.1
9/21,True,n/a,4.28
9/22,True,n/a,3.54
9/23,True,n/a,4.58
9/24,False,n/a,4.73
9/25,False,n/a,4.96
9/26,True,n/a,3.79
9/27,True,n/a,4.18
9/28,False,n/a,5.23
9/29,True,n/a,4.52
9/30,True,n/a,3.92
10/1,True,n/a,5.04
10/2,True,n/a,4.58
10/3,False,n/a,4.14
