date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,7.2
4/12,False,n/a,2.46
4/14,False,n/a,1.29
4/15,True,n/a,1.5
4/16,True,n/a,2.4
4/17,True,n/a,8.44
4/18,True,n/a,4.5
4/20,True,n/a,3.48
4/21,True,n/a,2.08
4/22,True,n/a,3.38
4/23,True,n/a,2.41
4/24,False,n/a,2.65
4/25,True,n/a,5.4
4/26,False,n/a,2.77
4/27,True,n/a,5.82
4/28,False,n/a,4.73
4/30,True,n/a,3.42
5/1,True,n/a,inf
5/2,True,n/a,0.93
5/3,False,n/a,3.55
5/9,False,n/a,6.47
5/11,False,n/a,5.03
5/12,True,n/a,5.45
5/13,True,n/a,2.51
5/14,False,n/a,4.67
5/15,True,n/a,4.91
5/16,True,n/a,5.66
5/17,False,n/a,2.27
7/20,False,n/a,4.95
7/21,True,n/a,3.76
7/23,True,n/a,2.92
7/24,False,n/a,2.84
7/25,True,n/a,4.41
7/26,False,n/a,4.68
7/27,True,n/a,3.18
7/28,False,n/a,4.83
7/29,True,n/a,4.22
7/30,False,n/a,3.36
7/31,True,n/a,3.89
8/1,True,n/a,5.49
8/2,True,n/a,4.26
8/3,False,n/a,6.33
8/4,False,n/a,3.05
8/6,True,n/a,3.18
8/7,False,n/a,3.32
8/8,False,n/a,2.1
8/10,True,n/a,5.07
8/11,True,n/a,6.27
8/12,True,n/a,5.84
8/13,True,n/a,3.38
8/14,True,n/a,3.12
8/15,True,n/a,2.72
8/17,True,n/a,3.99
8/18,True,n/a,4.5
8/19,True,n/a,5.22
8/20,False,n/a,4.54
8/21,True,n/a,3.86
8/22,False,n/a,3.77
8/24,False,n/a,3.39
8/25,True,n/a,2.54
8/26,True,n/a,3.57
8/27,True,n/a,4.5
8/28,True,n/a,3.83
8/29,True,n/a,4.88
8/30,True,n/a,3.93
8/31,False,n/a,0.96
9/1,True,n/a,4.89
9/2,True,n/a,3.73
9/3,True,n/a,4.13
9/4,True,n/a,4.25
9/5,True,n/a,2.39
9/6,True,n/a,3.5
9/8,False,n/a,6.19
9/10,False,n/a,3.52
9/11,True,n/a,5.85
9/12,True,n/a,4.4
9/14,False,n/a,5.98
9/15,False,n/a,3.05
9/16,False,n/a,4.0
9/17,True,n/a,4.96
9/18,True,n/a,7.4
9/20,True,n/a,2.07
9/24,True,n/a,4.8
9/25,True,n/a,4.0
9/26,True,n/a,4.7
9/27,True,n/a,4.45
9/29,False,n/a,3.4
10/1,True,n/a,4.85
10/2,True,n/a,4.32
