date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,True,n/a,inf
4/7,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,False,n/a,1.5
4/12,True,n/a,0.0
4/14,True,n/a,3.38
4/15,True,n/a,2.57
4/16,False,n/a,5.25
4/18,True,n/a,8.68
4/19,True,n/a,4.27
4/20,False,n/a,2.19
4/21,False,n/a,9.58
4/23,True,n/a,4.95
4/24,False,n/a,5.06
4/26,False,n/a,4.09
5/14,True,n/a,6.51
5/16,False,n/a,4.82
5/18,True,n/a,2.66
5/19,True,n/a,6.54
5/20,True,n/a,3.55
5/21,True,n/a,2.08
5/22,False,n/a,4.77
5/23,True,n/a,3.95
6/25,False,n/a,4.39
6/27,False,n/a,3.3
6/29,True,n/a,4.31
6/30,True,n/a,3.53
7/2,True,n/a,3.55
7/4,False,n/a,3.61
7/6,False,n/a,2.98
7/7,False,n/a,3.38
7/8,False,n/a,4.72
7/9,False,n/a,3.91
7/10,True,n/a,4.18
7/11,True,n/a,5.12
7/18,True,n/a,4.92
7/21,True,n/a,4.19
7/22,False,n/a,2.6
7/23,True,n/a,4.03
7/24,True,n/a,4.84
7/25,False,n/a,6.29
7/27,True,n/a,4.22
7/28,False,n/a,3.48
7/29,False,n/a,3.41
8/3,False,n/a,4.22
8/7,False,n/a,4.64
8/8,True,n/a,1.69
8/15,True,n/a,3.41
8/18,True,n/a,8.64
8/20,True,n/a,2.97
9/1,True,n/a,2.44
9/4,True,n/a,4.32
9/8,True,n/a,3.54
