date,hitVal,otherInfo,opPitcherEra
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,9.66
4/11,True,n/a,inf
4/12,False,n/a,0.0
4/13,True,n/a,3.0
4/14,True,n/a,3.6
4/16,True,n/a,3.86
4/17,True,n/a,5.03
4/18,True,n/a,1.38
4/19,False,n/a,12.0
4/20,True,n/a,1.35
4/21,True,n/a,4.05
4/23,True,n/a,4.96
4/24,True,n/a,6.06
4/25,True,n/a,2.45
4/26,False,n/a,2.15
4/27,True,n/a,5.14
4/28,True,n/a,4.63
4/29,True,n/a,2.17
4/30,False,n/a,3.27
5/1,True,n/a,2.2
5/2,False,n/a,3.68
5/3,True,n/a,7.85
5/4,True,n/a,6.49
5/5,True,n/a,5.87
5/6,True,n/a,4.97
5/7,True,n/a,1.65
5/8,True,n/a,3.52
5/9,False,n/a,5.46
5/11,True,n/a,5.75
5/12,True,n/a,3.86
5/13,True,n/a,4.6
5/14,True,n/a,4.96
5/15,True,n/a,5.57
5/16,False,n/a,6.92
5/17,True,n/a,5.77
5/18,True,n/a,3.69
5/19,True,n/a,5.92
5/20,True,n/a,3.23
5/21,True,n/a,7.72
5/22,False,n/a,1.29
5/23,True,n/a,5.13
5/25,False,n/a,4.74
5/26,True,n/a,5.9
5/27,False,n/a,5.77
5/28,True,n/a,4.44
5/29,False,n/a,3.07
5/30,True,n/a,3.15
5/31,True,n/a,3.65
6/1,True,n/a,4.95
6/2,False,n/a,6.34
6/3,False,n/a,3.02
6/4,True,n/a,6.42
6/5,False,n/a,3.75
6/6,True,n/a,3.72
6/8,False,n/a,3.84
6/9,True,n/a,4.11
6/10,True,n/a,4.52
6/11,True,n/a,4.65
6/12,False,n/a,4.25
6/15,True,n/a,3.82
6/16,False,n/a,3.16
6/17,False,n/a,3.18
6/18,True,n/a,4.81
6/19,True,n/a,3.23
6/20,True,n/a,4.42
6/21,True,n/a,2.94
6/22,True,n/a,4.78
6/23,True,n/a,1.86
6/25,True,n/a,5.41
6/26,False,n/a,5.63
6/27,True,n/a,1.79
6/28,False,n/a,4.6
6/29,True,n/a,4.8
6/30,True,n/a,4.71
7/2,False,n/a,4.89
7/5,True,n/a,3.03
7/7,True,n/a,3.22
7/10,False,n/a,4.43
7/11,False,n/a,inf
7/16,True,n/a,3.79
7/17,True,n/a,2.94
7/18,False,n/a,3.81
7/19,True,n/a,3.97
7/20,True,n/a,6.54
7/21,True,n/a,5.41
7/23,True,n/a,3.23
7/24,True,n/a,5.48
7/25,False,n/a,2.09
7/26,True,n/a,2.81
7/27,True,n/a,4.36
7/28,True,n/a,6.67
7/30,True,n/a,2.31
7/31,True,n/a,5.68
8/1,True,n/a,2.1
8/3,True,n/a,4.23
8/5,True,n/a,5.47
8/6,True,n/a,3.74
8/7,True,n/a,4.84
8/8,False,n/a,5.91
8/9,True,n/a,6.06
8/10,True,n/a,5.15
8/11,False,n/a,4.15
8/14,True,n/a,3.62
8/15,True,n/a,3.53
8/17,True,n/a,2.49
8/18,True,n/a,4.54
8/19,True,n/a,6.52
8/20,True,n/a,2.01
8/21,True,n/a,4.22
8/22,True,n/a,4.85
8/23,True,n/a,4.82
8/24,True,n/a,4.45
8/25,True,n/a,3.12
8/27,True,n/a,5.84
8/28,True,n/a,5.63
8/29,False,n/a,4.13
8/30,False,n/a,4.02
8/31,True,n/a,2.47
9/1,True,n/a,3.53
9/3,False,n/a,3.23
9/4,True,n/a,2.82
9/5,False,n/a,4.06
9/6,True,n/a,3.68
9/7,False,n/a,5.04
9/8,True,n/a,4.14
9/10,True,n/a,4.43
9/11,True,n/a,2.3
9/14,False,n/a,4.18
9/15,False,n/a,3.07
9/16,False,n/a,3.86
9/17,True,n/a,4.24
9/19,False,n/a,4.32
9/20,True,n/a,4.12
9/28,False,n/a,3.49
9/30,True,n/a,3.83
10/1,True,n/a,3.81
10/3,True,n/a,3.72
