date,hitVal,otherInfo,opPitcherEra
4/4,True,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/11,False,n/a,inf
4/12,False,n/a,1.29
4/14,False,n/a,1.69
4/17,True,n/a,3.97
4/18,True,n/a,1.13
5/25,False,n/a,3.08
5/26,True,n/a,2.37
5/28,True,n/a,4.53
5/29,False,n/a,3.57
5/30,True,n/a,2.91
6/6,True,n/a,5.28
6/8,False,n/a,6.08
6/10,True,n/a,3.54
6/11,True,n/a,3.98
6/15,True,n/a,3.17
6/16,False,n/a,4.45
6/18,True,n/a,2.98
6/20,False,n/a,3.1
6/22,True,n/a,4.0
6/24,True,n/a,4.03
6/26,True,n/a,inf
6/29,True,n/a,4.55
6/30,True,n/a,4.1
7/3,True,n/a,4.3
7/5,False,n/a,4.08
7/7,True,n/a,2.42
7/9,True,n/a,3.4
7/10,False,n/a,4.69
7/15,True,n/a,2.34
7/17,True,n/a,2.88
7/18,True,n/a,3.35
7/20,True,n/a,3.83
7/21,False,n/a,3.63
7/22,True,n/a,6.19
7/23,True,n/a,2.97
7/25,False,n/a,3.56
7/26,False,n/a,inf
7/27,False,n/a,3.2
7/30,True,n/a,4.44
