date,hitVal,otherInfo
4/14,False,n/a
4/15,True,n/a
4/16,True,n/a
4/17,True,n/a
4/18,False,n/a
4/20,True,n/a
4/21,True,n/a
4/22,True,n/a
4/23,False,n/a
4/24,True,n/a
4/27,False,n/a
4/28,False,n/a
4/30,True,n/a
5/1,True,n/a
5/2,True,n/a
5/3,False,n/a
5/4,False,n/a
5/5,True,n/a
5/18,True,n/a
5/22,True,n/a
5/23,True,n/a
5/25,False,n/a
5/29,True,n/a
5/30,False,n/a
6/1,False,n/a
6/4,False,n/a
6/6,False,n/a
6/11,True,n/a
6/13,True,n/a
6/15,False,n/a
6/26,False,n/a
7/9,False,n/a
7/10,False,n/a
8/15,False,n/a
