date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,1.29
4/11,True,n/a,5.4
4/12,True,n/a,0.0
4/13,False,n/a,4.05
4/14,True,n/a,6.24
4/16,True,n/a,1.35
4/17,True,n/a,4.91
4/18,False,n/a,3.86
4/20,False,n/a,3.86
4/21,False,n/a,5.5
4/22,True,n/a,4.91
4/23,False,n/a,2.37
4/24,True,n/a,4.67
4/26,False,n/a,4.3
4/27,True,n/a,3.7
4/28,False,n/a,7.21
4/29,False,n/a,3.13
5/1,False,n/a,1.69
5/4,True,n/a,2.78
5/5,True,n/a,4.91
5/6,True,n/a,3.45
5/7,False,n/a,2.84
5/8,True,n/a,1.13
5/9,True,n/a,1.96
5/10,True,n/a,6.14
5/11,True,n/a,5.18
5/14,False,n/a,2.83
5/15,True,n/a,3.44
5/16,False,n/a,4.88
5/17,True,n/a,5.89
5/18,True,n/a,1.59
5/19,True,n/a,4.66
5/20,True,n/a,5.29
5/21,False,n/a,2.41
5/22,True,n/a,5.47
5/23,True,n/a,2.46
5/24,True,n/a,6.02
5/25,True,n/a,2.91
5/26,True,n/a,4.86
5/27,True,n/a,3.6
5/29,True,n/a,2.57
5/30,False,n/a,4.93
5/31,False,n/a,4.79
6/1,False,n/a,3.63
6/4,False,n/a,2.9
6/5,False,n/a,5.03
6/6,True,n/a,3.14
6/7,True,n/a,3.12
6/8,True,n/a,inf
6/9,True,n/a,4.79
6/11,False,n/a,3.65
6/12,True,n/a,4.4
6/13,True,n/a,2.77
6/15,False,n/a,4.82
6/18,False,n/a,3.23
6/26,False,n/a,3.21
6/27,False,n/a,3.89
6/28,True,n/a,5.21
6/29,False,n/a,3.28
6/30,False,n/a,3.42
7/4,False,n/a,6.19
7/7,True,n/a,5.2
7/9,True,n/a,7.57
7/11,True,n/a,4.49
7/16,False,n/a,3.41
7/17,True,n/a,5.97
7/18,True,n/a,3.08
7/19,True,n/a,4.36
7/20,False,n/a,4.07
7/21,True,n/a,4.56
7/22,True,n/a,2.58
7/23,True,n/a,5.22
7/24,True,n/a,2.45
7/25,True,n/a,3.29
7/27,False,n/a,5.65
7/28,False,n/a,4.78
7/30,False,n/a,3.09
7/31,True,n/a,5.31
8/1,True,n/a,2.23
8/2,False,n/a,2.7
8/3,True,n/a,3.57
8/4,True,n/a,3.32
8/5,True,n/a,4.45
8/6,False,n/a,4.37
8/7,True,n/a,5.01
8/8,True,n/a,4.86
8/10,True,n/a,3.61
8/11,False,n/a,4.81
8/20,True,n/a,3.95
8/21,True,n/a,3.38
8/22,False,n/a,2.97
8/23,True,n/a,6.8
8/24,True,n/a,2.06
8/25,True,n/a,3.6
8/27,True,n/a,5.69
8/28,False,n/a,3.73
8/29,False,n/a,4.76
8/30,True,n/a,4.65
8/31,True,n/a,3.42
9/1,True,n/a,3.98
9/3,True,n/a,3.49
9/4,True,n/a,4.95
9/5,True,n/a,8.13
9/6,False,n/a,3.6
9/7,True,n/a,2.3
9/8,False,n/a,4.53
9/10,False,n/a,5.0
9/11,True,n/a,6.18
9/12,False,n/a,3.45
9/13,True,n/a,1.29
9/14,False,n/a,2.91
9/15,True,n/a,4.91
9/16,True,n/a,3.89
9/17,True,n/a,3.87
9/18,False,n/a,3.39
9/19,True,n/a,1.67
9/21,True,n/a,3.26
9/22,True,n/a,6.75
9/23,True,n/a,4.72
9/24,False,n/a,2.76
9/25,True,n/a,4.85
9/26,False,n/a,3.04
9/27,True,n/a,7.18
9/28,True,n/a,4.48
9/29,True,n/a,7.83
9/30,True,n/a,4.63
10/1,True,n/a,4.19
10/2,True,n/a,5.24
10/3,True,n/a,3.62
