date,hitVal,otherInfo,opPitcherEra
4/10,True,n/a,inf
4/16,True,n/a,0.0
4/22,True,n/a,2.7
4/24,True,n/a,1.77
4/25,False,n/a,7.45
4/29,True,n/a,4.38
4/30,False,n/a,5.82
5/4,True,n/a,4.4
5/5,True,n/a,4.56
5/7,True,n/a,6.31
5/8,True,n/a,2.97
5/9,False,n/a,3.93
5/12,True,n/a,5.74
5/14,True,n/a,4.57
5/15,False,n/a,2.36
5/17,True,n/a,6.36
5/18,False,n/a,7.47
5/19,True,n/a,3.38
5/20,False,n/a,3.0
5/21,False,n/a,3.12
5/22,True,n/a,3.02
5/23,True,n/a,3.72
5/25,False,Suspended-Valid.,inf
5/26,False,n/a,3.25
5/27,True,n/a,4.5
5/29,True,n/a,5.25
5/31,True,n/a,3.73
6/1,False,n/a,5.76
6/2,False,n/a,5.96
6/3,False,n/a,3.89
6/5,True,n/a,3.14
6/6,False,n/a,6.0
6/8,True,n/a,4.29
6/9,True,n/a,7.73
6/11,True,n/a,3.01
6/12,True,n/a,4.95
6/15,True,n/a,1.96
6/17,True,n/a,4.8
6/18,True,n/a,3.48
6/20,True,n/a,3.13
6/23,True,n/a,4.2
6/26,False,n/a,3.06
6/29,False,n/a,2.39
6/30,False,n/a,3.28
7/2,True,n/a,4.39
7/5,True,n/a,4.98
7/7,True,n/a,3.5
7/10,False,n/a,3.01
7/17,True,n/a,2.77
7/21,True,n/a,3.95
7/23,False,n/a,5.65
7/26,False,n/a,4.74
7/27,False,n/a,inf
7/28,True,n/a,3.51
7/29,True,n/a,4.09
7/31,False,n/a,4.06
8/3,False,n/a,3.46
8/6,True,n/a,2.6
8/10,True,n/a,3.3
8/12,False,n/a,4.45
8/15,False,n/a,4.85
8/16,False,n/a,4.03
8/20,False,n/a,2.62
8/23,False,n/a,4.45
8/27,True,n/a,5.09
8/29,True,n/a,3.91
9/1,False,n/a,3.32
9/4,True,n/a,6.04
9/6,False,n/a,4.72
9/8,False,n/a,5.47
9/10,True,n/a,3.1
9/11,True,n/a,3.99
9/14,False,n/a,3.68
9/17,False,n/a,5.3
9/20,True,n/a,3.88
9/22,False,n/a,4.2
9/25,True,n/a,3.06
9/27,False,n/a,5.75
9/29,True,n/a,4.2
10/2,True,n/a,4.72
