date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/11,True,n/a,5.4
4/18,True,n/a,3.86
4/22,True,n/a,4.91
4/23,False,n/a,2.37
4/26,True,n/a,4.3
4/30,True,n/a,5.4
5/1,True,n/a,1.69
5/2,False,n/a,2.36
5/4,True,n/a,2.78
5/5,True,n/a,4.91
5/6,False,n/a,3.45
5/7,False,n/a,2.84
5/15,True,n/a,3.44
5/16,False,n/a,4.88
5/17,False,n/a,5.89
5/18,False,n/a,1.59
5/21,False,n/a,2.41
5/22,True,n/a,5.47
5/24,False,n/a,6.02
5/25,False,n/a,2.91
5/27,True,n/a,3.6
5/31,False,n/a,4.79
6/11,False,n/a,3.65
6/12,True,n/a,4.4
6/13,False,n/a,2.77
6/15,False,n/a,4.82
6/18,True,n/a,3.23
6/22,True,n/a,2.08
6/23,True,n/a,5.02
6/24,False,n/a,5.16
6/25,False,n/a,4.95
7/3,True,n/a,4.88
7/4,True,n/a,6.19
7/7,True,n/a,5.2
7/8,False,n/a,3.32
7/10,False,n/a,4.23
7/19,False,n/a,4.36
7/29,False,n/a,2.75
8/4,True,n/a,5.24
8/6,False,n/a,3.6
8/31,True,n/a,5.3
9/13,True,n/a,4.09
9/16,False,n/a,5.15
9/18,True,n/a,3.49
