date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,12.3
4/11,True,n/a,inf
4/18,False,n/a,1.2
4/19,True,n/a,2.92
4/24,False,n/a,6.06
4/28,True,n/a,inf
5/1,False,n/a,1.8
5/5,True,n/a,5.33
5/9,False,n/a,1.7
5/12,True,n/a,5.63
5/16,True,n/a,3.66
5/20,False,n/a,3.9
5/21,True,n/a,8.02
5/23,True,n/a,3.43
5/28,True,n/a,3.2
5/31,False,n/a,4.03
6/2,False,n/a,3.0
6/6,True,n/a,4.57
6/10,False,n/a,3.26
6/13,True,n/a,4.64
6/15,True,n/a,4.74
6/19,True,n/a,3.11
6/26,False,n/a,3.64
6/30,True,n/a,4.4
7/1,True,n/a,3.1
7/2,True,n/a,4.34
7/3,True,n/a,2.27
7/4,True,n/a,5.13
7/5,True,n/a,1.93
7/7,False,n/a,4.25
7/10,False,n/a,2.44
7/11,True,n/a,4.4
7/15,True,n/a,3.16
7/16,False,n/a,3.76
7/17,False,n/a,3.34
7/21,True,n/a,4.6
7/29,False,n/a,5.24
8/1,True,n/a,inf
8/28,True,n/a,3.49
8/29,False,n/a,3.24
