date,hitVal,otherInfo
5/15,True,n/a
5/17,True,n/a
5/18,False,n/a
5/19,True,n/a
5/20,True,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/24,False,n/a
5/25,False,n/a
5/26,True,n/a
5/28,False,n/a
5/29,True,n/a
5/30,True,n/a
5/31,False,n/a
6/1,True,n/a
6/2,False,n/a
6/3,True,n/a
6/5,True,n/a
6/6,True,n/a
6/7,False,n/a
6/8,False,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/12,False,n/a
6/13,True,n/a
6/15,True,n/a
6/18,True,n/a
6/19,True,n/a
6/20,False,n/a
6/22,True,n/a
6/23,True,n/a
6/24,True,n/a
6/25,True,n/a
6/26,True,n/a
6/27,True,n/a
6/28,False,n/a
6/29,True,n/a
6/30,False,n/a
7/1,True,n/a
7/2,False,n/a
7/3,True,n/a
7/4,True,n/a
7/5,True,n/a
7/6,False,n/a
7/7,True,n/a
7/8,False,n/a
7/11,True,n/a
7/16,True,n/a
7/17,True,n/a
7/18,True,n/a
7/19,True,n/a
7/20,True,n/a
7/21,False,n/a
7/23,True,n/a
7/24,False,n/a
7/25,True,n/a
7/26,False,n/a
7/27,False,n/a
7/28,True,n/a
7/29,True,n/a
7/30,True,n/a
7/31,False,n/a
8/1,True,n/a
8/2,True,n/a
8/3,False,n/a
8/4,True,n/a
8/5,False,n/a
8/6,False,n/a
8/8,True,n/a
8/10,True,n/a
8/12,True,n/a
8/13,False,n/a
8/15,True,n/a
8/17,True,n/a
8/19,True,n/a
8/20,False,n/a
8/21,True,n/a
8/22,True,n/a
8/24,True,n/a
8/25,False,n/a
8/26,True,n/a
8/27,True,n/a
8/28,True,n/a
8/29,False,n/a
9/2,True,n/a
9/4,False,n/a
9/8,True,n/a
9/10,True,n/a
9/11,True,n/a
9/16,True,n/a
9/17,True,n/a
9/19,True,n/a
9/21,True,n/a
9/23,True,n/a
9/24,True,n/a
9/25,True,n/a
9/26,True,n/a
9/27,True,n/a
9/29,False,n/a
10/1,True,n/a
10/2,False,n/a
